"label","title","author","journal","volume","number","pages","year","doi","abstract","n_duplicates","AbstractID","screener initials","include or exclude (note: exclude only if the abstract is unrelated to our topic, if you are unsure mark as include)","ecological scale (e.g. interspecific or intraspecific)","topic area (e.g. predator-prey, parasite-host, male-female, theoretical/modelling, review)"
"X.ISI.000395347300008","Competing for seed dispersal: evidence for the role of avian seed hoarders in mediating apparent predation among oaks","Pesendorfer, Mario B. and Koenig, Walter D.","FUNCTIONAL ECOLOGY",31,"3","622-631",2017,"10.1111/1365-2435.12770","In communities of large-seeded tree species, generalist seed hoarders often link the temporally variable dynamics of various species in ways that can result in indirect ecological interactions. A special case of such interactions is apparent predation' - when variation in seed production of one tree species changes the outcome of the interaction between seed hoarders and another tree species from seed dispersal mutualism to predation. We investigated how two species of avian hoarders responded to differences in acorn availability among individual valley oaks (Quercus lobata) and across a landscape dominated by blue oaks (Q.douglasii) to determine whether seed dispersal and predation dynamics result in apparent predation between these oak species. California scrub-jays (Aphelocoma californica), high-quality seed dispersers with large spatial scales of resource perception, showed strong numerical and functional responses to individually large Q.lobata acorn crops when landscape-level acorn crops were low, but the numerical response was not observed when Q.douglasii produced a good acorn crop the subsequent year. In contrast, acorn woodpeckers (Melanerpes formicivorus), which are significant acorn predators, exhibited a consistent functional response to individual Q.lobata acorn crops independent of landscape-wide availability. Consequently, Q.lobata experienced increased predation and a near absence of high-quality seed dispersal when Q.douglasii acorns were abundant. Our results suggest that apparent predation among oak species can arise from contrasting responses of generalist seed predators and dispersers to acorn availability on different spatial scales. Thus, the spatial scale of resource perception, which can differ greatly among generalist seed hoarders, may provide a proximate mechanism underlying indirect, temporally variable ecological affects such as apparent predation among sympatric species of large-seeded trees.",1,"MA60","","","",""
"Sachs2013637","Origins, Evolution, and Breakdown of Bacterial Symbiosis","Sachs, J.L.","Encyclopedia of Biodiversity: Second Edition",NA,NA,"637-644",2013,"10.1016/B978-0-12-384719-5.00382-8","Animals and plants harbor bacterial symbionts. Diverse bacterial lineages infect eukaryotes and some of these infections offer significant benefits in terms of survival and reproduction. How did these bacterial mutualists evolve initially? Moreover what forces keep beneficial bacteria from exploiting their hosts or from abandoning their hosts when better options exist? Finally, under what conditions do these symbiotic interactions break down? Here the author describes the current theory and empirical evidence about the evolutionary origins, maintenance, and ultimate breakdown of bacterial symbiotic interactions with eukaryotic hosts.  2013 Elsevier Inc. All rights reserved.",1,"MA265","","","",""
"X.ISI.000076410600014","Inducible defence and the social evolution of herd immunity","Frank, SA","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",265,"1408","1911-1913",1998,"10.1098/rspb.1998.0519","Many organisms vary their level of investment in defensive characters. Protective traits may be induced upon exposure to predators or parasites. In a similar way, humans vaccinate in response to threatening epidemics. When most group members defend themselves, epidemics die out quickly because parasites cannot spread. A high level of group (herd) immunity is therefore beneficial to the group. There is, however, a well-known divergence between the optimum degree of induction for selfish individuals and the level of induction that maximizes group benefit. I develop two optimality models for the frequency of induction. The first model shows that higher relatedness favours more induction and a smaller difference between selfish and cooperative optima. The second model assumes variation in the vigour of individuals and therefore differences in the relative cost for induction. The model predicts that strong individuals induce more easily than weak individuals. Small differences in vigour cause a large divergence in the optimal levels of induction for strong and weak individuals. The concept of genetic relatedness in an evolutionary model is analogous to correlated interests and correlated strategies in an economic model of human behaviour. The evolutionary models presented here therefore provide a basis for further study of human vaccination.",2,"MA204","","","",""
"Szkely2006801","Sexual conflict, ecology, and breeding systems in shorebirds","Szkely, T. and Thomas, G.H. and Cuthill, I.C.","BioScience",56,"10","801-808",2006,"10.1641/0006-3568(2006)56[801:SCEABS]2.0.CO;2","Evolutionary biologists strive to understand the immense variation in animals' breeding systems. Shorebirds represent an ideal model system for this endeavor, because they exhibit diverse breeding systems that include monogamy, with the parents cooperating to rear the young; and polygamy by the male, the female, or both parents, with one parent taking full responsibility for incubating the eggs and rearing the young. Recent experimental manipulations, mathematical models, and phylogenetic analyses reveal that evolutionary pressures may diverge as they act on mated pairs of shorebirds, favoring one parent at a cost to the other. We argue that different reproductive payoffs for the male and the female have had fundamental implications for the evolution of diverse breeding systems.  2006 American Institute of Biological Sciences.",2,"MA320","","","",""
"X.ISI.000395653500014","The evolution of cooperation by negotiation in a noisy world","Ito, K. and McNamara, J. M. and Yamauchi, A. and Higginson, A. D.","JOURNAL OF EVOLUTIONARY BIOLOGY",30,"3","603-615",2017,"10.1111/jeb.13030","Cooperative interactions among individuals are ubiquitous despite the possibility of exploitation by selfish free riders. One mechanism that may promote cooperation is negotiation': individuals altering their behaviour in response to the behaviour of others. Negotiating individuals decide their actions through a recursive process of reciprocal observation, thereby reducing the possibility of free riding. Evolutionary games with response rules have shown that infinitely many forms of the rule can be evolutionarily stable simultaneously, unless there is variation in individual quality. This potentially restricts the conditions under which negotiation could maintain cooperation. Organisms interact with one another in a noisy world in which cooperative effort and the assessment of effort may be subject to error. Here, we show that such noise can make the number of evolutionarily stable rules finite, even without quality variation, and so noise could help maintain cooperative behaviour. We show that the curvature of the benefit function is the key factor determining whether individuals invest more or less as their partner's investment increases, investing less when the benefit to investment has diminishing returns. If the benefits of low investment are very small then behavioural flexibility tends to promote cooperation, because negotiation enables cooperators to reach large benefits. Under some conditions, this leads to a repeating cycle in which cooperative behaviour rises and falls over time, which may explain between-population differences in cooperative behaviour. In other conditions, negotiation leads to extremely high levels of cooperative behaviour, suggesting that behavioural flexibility could facilitate the evolution of eusociality in the absence of high relatedness.",1,"MA372","","","",""
"X.ISI.000468068400001","Trait-Based Modeling of Multihost Pathogen Transmission: Plant-Pollinator Networks","Truitt, Lauren L. and McArt, Scott H. and Vaughn, Andrew H. and Ellner, Stephen P.","AMERICAN NATURALIST",193,"6","E149-E167",2019,"10.1086/702959","Epidemiological models for multihost pathogen systems often classify individuals taxonomically and use species-specific parameter values, but in species-rich communities that approach may require intractably many parameters. Trait-based epidemiological models offer a potential solution but have not accounted for within-species trait variation or between-species trait overlap. Here we propose and study trait-based models with host and vector communities represented as trait distributions without regard to species identity. To illustrate this approach, we develop susceptible-infectious-susceptible models for disease spread in plant-pollinator networks with continuous trait distributions. We model trait-dependent contact rates in two common scenarios: nested networks and specialized plant-pollinator interactions based on trait matching. We find that disease spread in plant-pollinator networks is impacted the most by selective pollinators, universally attractive flowers, and cospecialized plant-pollinator pairs. When extreme pollinator traits are rare, pollinators with common traits are most important for disease spread, whereas when extreme flower traits are rare, flowers with uncommon traits impact disease spread the most. Greater nestedness and specialization both typically promote disease persistence. Given recent pollinator declines caused in part by pathogens, we discuss how trait-based models could inform conservation strategies for wild and managed pollinators. Furthermore, while we have applied our model to pollinators and pathogens, its framework is general and can be transferred to any kind of species interactions in any community.",1,"MA393","","","",""
"Mcguigan201516","The evolving dynamics of the microbial community in the cystic fibrosis lung","Mcguigan, L. and Callaghan, M.","Environmental Microbiology",17,"1","16-28",2015,"10.1111/1462-2920.12504","The cystic fibrosis (CF) lung is a niche colonized by a diverse group of organisms, with a more limited number of species including Pseudomonas aeruginosa dominating in adult patients. Whether all members of this microbial community play a direct or indirect role in pulmonary decline has yet to be fully elucidated, but investigations of their interactions with both co-colonizing species and with host cells are beginning to shed light on their virulence potential. It is also emerging that some microbial species within this community adapt as chronic infection is established to survive the hostile environment of the lung, to minimize host clearance and to resist therapeutic intervention. This review highlights the recent developments in CF microbiology focusing on the cooperative, competitive and adaptive interactions of established and emerging pathogens in the lung microbiome.  2014 Society for Applied Microbiology and John Wiley & Sons Ltd.",1,"MA374","","","",""
"Kieft2015","Allometry of animal-microbe interactions and global census of animal-associated microbes","Kieft, T.L. and Simmons, K.A.","Proceedings of the Royal Society B: Biological Sciences",282,"1810",NA,2015,"10.1098/rspb.2015.0702","Animals live in close association with microorganisms, mostly prokaryotes, living in or on them as commensals, mutualists or parasites, and profoundly affecting host fitness. Most animal-microbe studies focus on microbial community structure; for this project, allometry (scaling of animal attributes with animal size) was applied to animal-microbe relationships across a range of species spanning 12 orders of magnitude in animal mass, from nematodes to whales. Microbial abundances per individual animal were gleaned from published literature and also microscopically counted in three species. Abundance of prokaryotes/individual versus animal mass scales as a nearly linear power function (exponent = 1.07, R =0.94). Combining this power function with allometry of animal abundance indicates that macrofauna have an outsized share of animal-associated microorganisms. The total number of animal-associated prokaryotes in Earths land animals was calculated to be 1.3-1.4 x 102 cells and the total of marine animal-associated microbes was calculated to be 8.6-9.0 x 10 cells. Animal-associated microbes thus total 2.1-2.3 x 102 of the approximately 10 prokaryotes on the Earth. Microbes associated with humans comprise 3.3-3.5% of Earths animal-associated microbes, and domestic animals harbour 14-20% of all animal-associated microbes, adding a new dimension to the scale of human impact on the biosphere. This novel allometric power function may reflect underlying mechanisms involving the transfer of energy and materials between microorganisms and their animal hosts. Microbial diversity indices of animal gut communities and gut microbial species richness for 60 mammals did not indicate significant scaling relationships with animal body mass; however, further research in this area is warranted.  2015 The Author(s) Published by the Royal Society. All rights reserved.",2,"MA15","","","",""
"PROSSER1955229","PHYSIOLOGICAL VARIATION IN ANIMALS","PROSSER, C.L.","Biological Reviews",30,"3","229-261",1955,"10.1111/j.1469-185X.1955.tb01208.x","Numerous examples are cited of physiological characters which, like morphological characters, vary genotypically, ontogenetically or phenotypically. Physiological variation is useful in describing interspecific relations, intraspecific variation and the limits of ecological range. Physiological variation of a character permits the establishment of populations at environmental limits and thus predisposes a race for genetic fixation of a character (Baldwin effect). Such variation is primary in providing one mechanism of reproductive isolation. Secondary physiological variation functions in habitat selection, particularly after reproductive isolation. Criteria for physiological variation are given by measurement of internal state in relation to environmental stress. In regulators a criterion is the point of failure of homeostatic mechanisms; in adjusters a criterion is the limit of tolerance after maximum acclimation. Both regulation and adjustment are adaptive to environmental change; in both types, phenotypic variation must be distinguished from genotypic variation. Examples of physiological variation in osmotic adaptation, in different populations of the same species, are given for species of Paramecium, Euplotes, Asterias, Gammarus, Callinectes, Anopheles, Onchorhynchus and Gasterosteus. Genetically different races have been established for Gasterosteus aculeatus and Euplotes vassus. Ionic balance has been little studied as a basis for variation of populations but specific requirements for some elements, such as copper and calcium, may have led to local differences. Stress of temperature extremes has induced many physiological variants. Closely related large homoiotherms differ in insulating capacity, smaller species differ also in metabolic response, particularly to cold. Poikilotherms differ in tolerance limits after acclimation, in selected temperatures, in metabolic level according to their temperature history, in Q 10 , in critical temperatures for reproduction and development. Physiological races with respect to temperature tolerance or selection are cited for species of Notropis, Micropterus, Gambusia, Pandalus and Carabus. Examples of metabolic differences in populations are found in aquatic but not terrestrial poikilotherms. Examples of races with respect to optimal temperature of development are found in species of Paramecium, Crassostrea, Urosalpinx, Daphnia, Drosophila, Lymantria and Rana. Criteria of variation with respect to oxygen are the halfsaturation value of transport pigments, the critical oxygen concentration, metabolic level, tolerance of products of anaerobiosis, auxiliary breathing mechanisms and stimulation of pigment development by hypoxia. Correlations of these functions with history of oxygen availability are cited, but data are inadequate to establish genetic races. Selection of specific food plants depends on secondary products, not primary food; many subspecies and races are known by food plant selection, especially among bugs, gall flies and butterflies. Preference can be transferred from one plant to another by forcedfeeding habituation; a food habit can be transmitted by behaviour from one generation to the next, or it may be fixed by genetic differences. Many genetic strains resistant to natural and artificial poisons are known. Light is an isolating mechanism for cave animals, for races differing in phototaxes, for races and related species differing in pigmentation and in establishing photoperiodic cycles. Variation in tolerance of type of substratum, of stream and of wind velocity isolates in some species. Examples of isolation by reproductive behaviour are given in crickets, Drosophila, birds and other groups. Selection of host by parasites and symbionts is a subtle isolating mechanism, probably based largely on chemical specificity. Serological incompatibility is a secondary mechanism in maintaining genetic intersterility. Physiological variation is usually accompanied by detectable morphological variation which may or may not be adaptive. Reproductive isolation may exist with slight physiological or morphological variation or conversely interbreeding may occur among very different populations. Need for physiological study of intraspecific variation according to history and distribution of natural populations is stressed. Copyright  1955, Wiley Blackwell. All rights reserved",1,"MA279","","","",""
"X.ISI.000338712900031","All signals are not equal: acoustic signalling of individuality, sex and breeding status in a cooperative breeder","Warrington, Miyako H. and McDonald, Paul G. and Rollins, Lee Ann and Griffith, Simon C.","ANIMAL BEHAVIOUR",93,NA,"249-260",2014,"10.1016/j.anbehav.2014.05.007","Repeated interactions between individuals in socially living animals select for the evolution of signals that convey information identifying individuals or categories of individuals, which may enable the discrimination of familiar versus unfamiliar individuals. Such information may help animals maximize their inclusive fitness by adjusting their own behaviour, allowing them to avoid conflict, preferentially direct help and/or ignore unreliable individuals. Acoustic signals in birds provide the potential to encode individual-specific information. We examined the degree to which individual identity, sex, breeding status, group membership and genetic relatedness were related to variability in six different call types, which occurred across a variety of different behavioural contexts in the apostlebird, Struthidea cinerea, a socially living and cooperatively breeding Australian passerine. We demonstrated that not all calls reflected the same extent of information. Of the six call types, call variation was related to individual identity in three call types, breeding status in two call types and sex and group relatedness in one call type. Finally, variation in two call types was not related to any of the measured variables. Our results suggest that some, but not all, acoustic signals in apostlebirds may be selected for individual distinctiveness between individuals and categories of individuals (male versus female, breeder versus nonbreeder), and these signals may be important in determining levels of cooperation and interaction between individuals in this cooperatively breeding society. (C) 2014 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,"MA14","","","",""
"Ireland20082797","A commentary on domestic animals as dual-purpose models that benefit agricultural and biomedical research","Ireland, J.J. and Roberts, R.M. and Palmer, G.H. and Bauman, D.E. and Bazer, F.W.","Journal of Animal Science",86,"10","2797-2805",2008,"10.2527/jas.2008-1088","Research on domestic animals (cattle, swine, sheep, goats, poultry, horses, and aquatic species) at land grant institutions is integral to improving the global competitiveness of US animal agriculture and to resolving complex animal and human diseases. However, dwindling federal and state budgets, years of stagnant funding from USDA for the Competitive State Research, Education, and Extension Service National Research Initiative (CSREES-NRI) Competitive Grants Program, significant reductions in farm animal species and in numbers at land grant institutions, and declining enrollment for graduate studies in animal science are diminishing the resources necessary to conduct research on domestic species. Consequently, recruitment of scientists who use such models to conduct research relevant to animal agriculture and biomedicine at land grant institutions is in jeopardy. Concerned stakeholders have addressed this critical problem by conducting workshops, holding a series of meetings with USDA and National Institutes of Health (NIH) officials, and developing a white paper to propose solutions to obstacles impeding the use of domestic species as dual-purpose animal models for high-priority problems common to agriculture and biomedicine. In addition to shortfalls in research support and human resources, overwhelming use of mouse models in biomedicine, lack of advocacy from university administrators, long-standing cultural barriers between agriculture and human medicine, inadequate grantsmanship by animal scientists, and a scarcity of key reagents and resources are major roadblocks to progress. Solutions will require a large financial enhancement of USDA's Competitive Grants Program, educational programs geared toward explaining how research using agricultural animals benefits both animal agriculture and human health, and the development of a new mind-set in land grant institutions that fosters greater cooperation among basic and applied researchers. Recruitment of outstanding scientists dedicated to using domestic animal models for agricultural and biomedical research, strong incentives for scientists to take advantage of training opportunities to write NIH grants, and greater NIH and USDA cooperation to sponsor the use of agricultural animals as dual-purpose animal models that benefit agriculture and biomedicine will also be necessary. In conclusion, the broad diversity of animal models needed for agricultural and biomedical research is at risk unless research priorities at the land grant uni-versities are critically evaluated and financial support for such research is dramatically increased. 2008 American Society of Animal Science. All rights reserved.",1,"MA1","","","",""
"Surbeck2017R640","Male reproductive skew is higher in bonobos than chimpanzees","Surbeck, M. and Langergraber, K.E. and Fruth, B. and Vigilant, L. and Hohmann, G.","Current Biology",27,"13","R640-R641",2017,"10.1016/j.cub.2017.05.039","The two closest living relatives of humans, bonobos (Pan paniscus) and chimpanzees (Pan troglodytes), share many traits that are common in humans but rare in other mammals, including societies with high fissionfusion dynamics, male philopatry, female dispersal and extensive social bonding among unrelated individuals [1]. The major difference between these two species is that male aggression is more frequent and intense in male-dominated chimpanzees than in bonobos, where the highest-ranking individuals are female [1]. One potential explanation is that because periods of female sexual receptivity and attractiveness are more extended in bonobos [2], males compete less intensely for each mating opportunity. This would reduce the strength of selection for traits that lead to success in direct contest competition between males and in sexual coercion of females, thus increasing the potential for female choice [3]. Accordingly, it has been predicted that the influence of male dominance rank on reproductive success and the extent of male reproductive skew should be lower in bonobos than in chimpanzees [1]. Although relevant for understanding the evolution of the unusual levels of egalitarianism and cooperation found in human hunter-gatherers [4], comparative analyses in the genus Pan have been limited by the scanty paternity data available for wild bonobos [5]. Here, we show using the largest sample of paternity data available that, contrary to expectation, male bonobos have a higher reproductive skew and a stronger relationship between dominance rank and reproductive success than chimpanzees.  2017 Elsevier Ltd",1,"MA236","","","",""
"X.ISI.000391840900015","Intra- and interindividual differences in the costs and benefits of intergroup aggression in female vervet monkeys","Arseneau-Robar, T. Jean M. and Taucher, Anouk L. and Schnider, Alessandra B. and van Schaik, Carel P. and Willems, Erik P.","ANIMAL BEHAVIOUR",123,NA,"129-137",2017,"10.1016/j.anbehav.2016.10.034","In social species, fighting in intergroup conflicts is one of the riskiest cooperative activities group members engage in, particularly for individuals of the smaller sex. In a number of species, female group members are significantly smaller than males, so the costs associated with intergroup aggression outweigh the potential benefits and females avoid participating. Studies conducted on species in which females are active participants have consistently found that they fight to defend access to food resources and that high-ranking females tend to be more active than low-rankers. However, additional factors may modulate the costs and benefits of participation, creating differences between individuals and variability within individuals over time. In this study, we investigated costs and benefits that potentially affect female vervet monkey, Chlorocebus aethiops pygerythrus, participation in intergroup conflicts. We observed the participation of 35 females in three groups, during 115 intergroup conflicts. Our findings suggest that female vervet monkeys defend access to valuable food resources, as well as to areas that are intensely used in the long term; however, rank also influenced female participation indicating that the potential benefits gained from resource defence vary with one's priority of access to these resources. We found that females were more likely to participate aggressively when they did not have an infant, and when they received more male support throughout the intergroup conflict, suggesting these factors influence the perceived risk, or costs, of intergroup aggression. Because we observed considerable temporal variability in both the proportion of female group members with infants and the number and identity of male group members (i.e. amount of male support provided), the relative fighting ability of neighbouring groups will inevitably fluctuate. Thus, our findings may help explain the lack of stable intergroup dominance relationships observed in many studies of intergroup conflict. (C) 2016 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2,"MA214","","","",""
"Wright2010941","Variance-sensitive green woodhoopoes: A new explanation for sex differences in foraging?","Wright, J. and Radford, A.N.","Ethology",116,"10","941-950",2010,"10.1111/j.1439-0310.2010.01811.x","Studies of cooperatively breeding birds rarely benefit from the extensive research on adaptive foraging behaviour, despite the potential for concepts such as state-dependent foraging to explain many aspects of behaviour in social groups. For example, sex differences in preferred foraging techniques used by green woodhoopoes, Phoeniculus purpureus, have previously been explained by sexual dimorphism in bill length and the benefits afforded by foraging specialization and niche differentiation within cooperative groups. Contrary to this argument, there were no sex differences in mean foraging success and/or prey size captured when males and females used the same foraging techniques. Subordinates of both sexes did experience lower and more varied foraging success compared with dominants, but probably only as a consequence of competition or inexperience. However, dominant males experienced greater variance in individual foraging success compared with dominant females, and dominant males also experienced greater variances in prey size when using their preferred foraging techniques. Dominant males therefore appeared to specialize in foraging techniques that provided more variable rewards, whilst dominant females consistently chose to minimize variation in reward. Dominant females also experienced less variance in foraging returns when using the same techniques as males, suggesting a possible link with sexual dimorphism in bill length. Partitioning of foraging niches in dominant green woodhoopoes therefore appears to be better explained by sex differences in variance (risk) sensitivity to foraging rewards. We suggest that this kind of detailed analysis of state-dependent foraging has the potential to explain many of the crucial age and sex differences in behaviour within cooperative groups.  2010 Blackwell Verlag GmbH.",2,"MA402","","","",""
"Thomson2015243","Intraspecific behavioral dynamics in a green turtle Chelonia mydas foraging aggregation","Thomson, J.A. and Gulick, A. and Heithaus, M.R.","Marine Ecology Progress Series",532,NA,"243-256",2015,"10.3354/meps11346","We used animal-borne video footage to investigate the intraspecific behavioral dynamics of a green turtle Chelonia mydas foraging aggregation in Shark Bay, Western Australia, and test the hypothesis that the limited availability of a valuable habitat type promotes interference competition for access to these spaces. In 301 h of footage from 93 individuals, we recorded 176 turtle encounters involving between 1 and 7 turtles per encounter. The majority of encounters (55%) occurred in rare structurally complex benthic habitat (e.g. rock ledges) in deeper areas of this shallow sand-seagrass ecosystem, despite turtles spending only ca. 5% of their time at these sites. We recorded a suite of interactive behaviors nested within 3 encounter classes, which also showed habitat associations. Specifically, behaviorally diverse strongly interactive/social encounters, which represented 68% of total encounter time, occurred exclusively in structured areas. Turtle activities in these areas included solitary and group resting, self-cleaning (i.e. rubbing on hard surfaces), symbiotic cleaning by fish and other interactive behaviors including competitive contests. Competitive contests were 7 times more frequent in structured versus unstructured habitat, although turtle sightings were only twice as frequent in structured areas. In contrast, encounters in shallow habitat (e.g. seagrass beds) tended to be brief and involve limited interaction between solitary turtles. Interference competition at resting/refuge/cleaning sites could have a variety of important ecological implications, and a fuller understanding of chelonid sea turtle foraging ground behavioral ecology and habitat use (e.g. predictive habitat mapping) may require detailed knowledge of key non-foraging habitats.  2015 Inter-Research.",1,"MA218","","","",""
"Havird2019R496","Selfish Mitonuclear Conflict","Havird, J.C. and Forsythe, E.S. and Williams, A.M. and Werren, J.H. and Dowling, D.K. and Sloan, D.B.","Current Biology",29,"11","R496-R511",2019,"10.1016/j.cub.2019.03.020","Mitochondria, a nearly ubiquitous feature of eukaryotes, are derived from an ancient symbiosis. Despite billions of years of cooperative coevolution  in what is arguably the most important mutualism in the history of life  the persistence of mitochondrial genomes also creates conditions for genetic conflict with the nucleus. Because mitochondrial genomes are present in numerous copies per cell, they are subject to both within- and among-organism levels of selection. Accordingly, selfish genotypes that increase their own proliferation can rise to high frequencies even if they decrease organismal fitness. It has been argued that uniparental (often maternal) inheritance of cytoplasmic genomes evolved to curtail such selfish replication by minimizing within-individual variation and, hence, within-individual selection. However, uniparental inheritance creates conditions for cytonuclear conflict over sex determination and sex ratio, as well as conditions for sexual antagonism when mitochondrial variants increase transmission by enhancing maternal fitness but have the side-effect of being harmful to males (i.e., mother's curse). Here, we review recent advances in understanding selfish replication and sexual antagonism in the evolution of mitochondrial genomes and the mechanisms that suppress selfish interactions, drawing parallels and contrasts with other organelles (plastids) and bacterial endosymbionts that arose more recently. Although cytonuclear conflict is widespread across eukaryotes, it can be cryptic due to nuclear suppression, highly variable, and lineage-specific, reflecting the diverse biology of eukaryotes and the varying architectures of their cytoplasmic genomes. Havird et al. explain how mitochondrial and nuclear genomes can come into conflict with one another and how this fits into specific features of organelle/host biology, such as the commonly observed uniparental inheritance of mitochondria.  2019 Elsevier Ltd",1,"MA313","","","",""
"Bauls201361","Of parasites and men","Bauls, A.-L. and Thomas, F. and Renaud, F.","Infection, Genetics and Evolution",20,NA,"61-70",2013,"10.1016/j.meegid.2013.08.005","The living world has evolved and is evolving through interspecific relationships between organisms. The diversity of these interactions is enormous going from mutualism to parasitism. Humans live with a multitude of microorganisms, essential for their biology. However, interactions are not always advantageous. Indeed, many organisms might become pathogens, such as the Plasmodium species, the causative agents of malaria. Like many other microorganisms, they are Machiavellian in their capacity to elaborate a range of reproduction strategies, giving them a huge advantage in terms of adaptation. Here, we discuss the role played by parasites in the ecology and evolution of living organisms and particularly of humans. In the study of infectious diseases, humans are legitimately the focal point, although they represent only one ecosystem among many others and not taking this into account certainly biases our global view of the system. Indeed, we know only a minimal fraction of the microorganisms we live with. However, parasites have shaped and are still shaping the human genome. Several genetic signatures are the proofs of the selection pressures by parasites that humankind has endured during its evolution.But, ultimately, what are the solutions. for living with pathogens? Should we eradicate them or should we learn how to control and manage them?  2013 The Authors.",1,"MA261","","","",""
"X.ISI.000392774100017","Can cleanerfish overcome temptation? A selective role for dopamine influence on cooperative-based decision making","Soares, Marta C. and Cardoso, Sonia C. and Malato, Joao T. and Messias, Joao P. M.","PHYSIOLOGY \& BEHAVIOR",169,NA,"124-129",2017,"10.1016/j.physbeh.2016.11.028","Evidence suggests that animals are selected to make accurate choices and prioritize goals within the constraints of a given social environment to maximize fitness. These decisions are mostly based on complex processes in which value is linked to reward and cues may carry variable incentive salience. However, the level in which the incentive elicited by a cue is able to shift individual choices should differ between individuals and neurophysiological states. Here we used a notorious cooperative cleanerfish species Labroides dimidiatus to probe for differences in the incentive motivational valences given to food cues and then tested for the role of the dopaminergic system in the appraisal of such cues. We found that cleaners differed in Pavlovian conditioned approach behavioural responses to reward-associated stimuli: while the majority were fast to engage physically with the cue plate that indicated future reward delivery (sign trackers), only a few took significantly more time to respond (goal trackers). But amongst those that were considering the sole cue attractive, we discovered that the dopaminergic blockage decreased their initial propensity to approach and touch the cue plate. Our results show that dopamine disruption contributes to shifting the attribution of motivational incentive from the predictive cue towards the actual reward and provides key insight into the physiological framework of cooperative-based decision making. (C) 2016 Elsevier Inc. All rights reserved.",1,"MA38","","","",""
"Zottl2016","Variation in growth of Damaraland mole-rats is explained by competition rather than by functional specialization for different tasks","Zottl, M. and Thorley, J. and Gaynor, D. and Bennett, N.C. and Clutton-Brock, T.","Biology Letters",12,"12",NA,2016,"10.1098/rsbl.2016.0820","In some eusocial insect societies, adaptation to the division of labour results in multimodal size variation among workers. It has been suggested that variation in size and growth among non-breeders in naked and Damaraland mole-rats may similarly reflect functional divergence associated with different cooperative tasks. However, it is unclear whether individual growth rates are multimodally distributed (as would be expected if variation in growth is associated with specialization for different tasks) or whether variation in growth is unimodally distributed, and is related to differences in the social and physical environment (as would be predicted if there are individual differences in growth but no discrete differences in developmental pathways). Here, we show that growth trajectories of non-breeding Damaraland mole-rats vary widely, and that their distribution is unimodal, contrary to the suggestion that variation in growth is the result of differentiation into discrete castes. Though there is no evidence of discrete variation in growth, social factors appear to exert important effects on growth rates and age-specific size, which are both reduced in large social groups.  2016 The Author(s) Published by the Royal Society. All rights reserved.",2,"MA404","","","",""
"Alcock201737","The behavioral sciences and sociobiology: A darwinian approach","Alcock, J.","The Darwinian Tradition in Context: Research Programs in Evolutionary Biology",NA,NA,"37-59",2017,"10.1007/978-3-319-69123-7_3","Darwinian natural selection theory is the theory of choice for the overwhelming majority of behavioral biologists interested in the evolution of adaptive social behavior despite many challenges to the discipline of sociobiology over the years. The initial criticisms came from a group of ideologues who argued that sociobiology was based on a form of genetic determinism. This view was dismissed by working sociobiologists for several reasons but primarily because the criticism fundamentally misrepresents the goal of the discipline, which is to test hypotheses about the evolution and adaptive value of social traits and not to examine the proximate causes that influence the development of an individual's social behavior during its lifetime. Among the additional opposing views to the discipline that have been presented over the years are those held by academics who believe (1) that evolution occurs because of differences among groups (not individuals), (2) that kin selection theory (an amendment to Darwinian natural selection theory) has failed and should be dropped, and (3) that Darwinian sexual selection (a subset of natural selection theory) should be replaced by a more modern and inclusive theory of the evolutionary effects of the interactions between the sexes. This chapter debunks each of these competitors. Darwinian theory as modified over the last 50 years continues to be the basis for evolutionary research into the interactions between the sexes, helpful behavior in its various forms, especially the evolution of altruistic behavior, and all aspects of human sociality.  Springer International Publishing AG 2017. All Rights Reserved.",1,"MA362","","","",""
"X.ISI.000259281500013","Mating strategies and aggressive combat in wingless neotropical fig wasp males","Santinelo Pereira, Rodrigo Augusto and do Prado, Angelo Pires","BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY",51,"4","753-760",2008,"10.1590/S1516-89132008000400013","The aim of this work was to study the wingless males of pollinating (Pegoscapus tonduzi) and two nonpollinating fig wasp species, genus Idarnes, associated with figs (Ficus citrifolia) in Brazil to answer the following questions: 1) Do wingless males of Idarnes spp. and P. tonduzi show different male-male competition strategies?; and, 2) Do the injury within-species variables correlate with fig/population features? Consistently higher injury levels were observed in the two species of Idarnes than in the pollinator species. The results suggested that aggressive confrontations were involved in the mating strategies of Idarnes, whereas non-aggressive strategies were shown by males of P. tonduzi. Generally, injury variables in Idarnes spp. correlated positively with the male encounter rate and negatively with the fig size, thus supporting the contest competition theory. The results pointed out that different species under similar local conditions might follow distinct evolutionary histories. Within species, natural-history particularities might have some influence upon quantified injury levels in wingless males.",1,"MA241","","","",""
