title,abstract,abstract.id,screener.id,decision,scale,topic,notes
Marine chemical ecology: What's known and what's next?,"In this review, I summarize recent developments in marine chemical ecology and suggest additional studies that should be especially productive. Direct tests in both the field and laboratory show that secondary metabolites commonly function as defenses against consumers. However, some metabolites also diminish fouling, inhibit competitors or microbial pathogens, and serve as gamete attractants; these alternative functions are less thoroughly investigated. We know little about how consumers perceive secondary metabolites or how ecologically realistic doses of defensive metabolites affect consumer physiology or fitness, as opposed to feeding behavior. Secondary metabolites have direct consequences, but they do not act in isolation from other prey characteristics or from the physical and biological environment in which organisms interact with their natural enemies. This mandates that marine chemical ecology be better integrated into a broader and more complex framework that includes aspects of physiological, population, community, and even ecosystem ecology. Recent advances in this area involve assessing how chemically mediated interactions are affected by physical factors such as flow, desiccation, UV radiation, and nutrient availability, or by biological forces such as the palatability or defenses of neighbors, fouling organisms, or microbial symbionts. Chemical defenses can vary dramatically among geographic regions, habitats, individuals within a local habitat, and within different portions of the same individual. Factors affecting this variance are poorly known, but include physical stresses and induction due to previous attack. Studies are needed to assess which consumers induce prey defenses, how responses vary in environments with differing physical characteristics, and whether the `induced' responses are a direct response to consumer attack or are a defense against microbial pathogens invading via feeding wounds. Although relatively unstudied, ontogenetic shifts in concentrations and types of defenses occur in marine species, and patterns of larval chemical defenses appear to provide insights into the evolution of complex life cycles and of differing modes of development among marine invertebrates. The chemical ecology of marine microbes is vastly underappreciated even though microbes produce metabolites that can have devastating indirect effects on non-target organisms (e.g., red tide related fish kills) and significantly affect entire ecosystems. The natural functions of these metabolites are poorly understood, but they appear to deter both consumers and other microbes. Additionally, marine macro-organisms use metabolites from microbial symbionts to deter consumers, subdue prey, and defend their embryos from pathogens. Microbial chemical ecology offers unlimited possibilities for investigators that develop rigorous and more ecologically relevant approaches.",MA240,KJB,exclude,,,
Prey size and scramble vs. contest competition in a social spider: implications for population dynamics,"1. There are many benefits of group living, but also substantial costs, one of which is competition for resources. How scarce food resources are distributed among different members of a population or social group -whether via scramble or contest competition - can influence not only the variance in individual fitness, but also the stability and therefore survival of the group or population. 2. Attributes of the food resources themselves, such as their size, may influence the type of intraspecific competition that occurs and therefore the intrinsic stability of a group or population. 3. By experimentally manipulating the size of prey fed to artificial colonies of the social spider Anelosimus eximius, we investigated whether prey size could alter the degree of scramble vs. contest competition that takes place and, thus, potentially influence colony population dynamics. 4. We found that large prey were shared more evenly than small prey and that individuals in poor condition were more likely to feed when prey were large than when prey were small. Additionally, we show that individuals participating in prey capture are also more likely to feed on the captured prey. 5. We developed a simple mathematical model to explore the prey sizes that would be energetically worth defending, i.e. prey that are `economically defendable'. The model shows that neither very small prey, nor prey above a certain size is worth monopolizing, with only intermediate size prey being `economically defendable'. We therefore suggest the small and large prey in our experiment corresponds to our model's intermediate and large prey categories, respectively. 6. As the size of prey captured by social spider colonies increases with colony size, our findings suggest that scramble competition may predominate in large colonies. Scramble competition, combined with the fact that prey biomass per capita declines as colonies grow beyond a certain size, would then explain why extremely large colonies of this social spider may suddenly go extinct. Our project thus illustrates the potential triple link between characteristics of the resources, individual behaviour and population dynamics, a link rarely considered in an empirical setting.",MA293,KJB,include,interspecific,"Predator-prey, competition, experiment, modelling",
Communal singing in the cooperatively breeding subdesert mesite Monias benschi: Evidence of numerical assessment?,"It has long been suggested that competing groups of social animals assess one another on the basis of communal vocalisations, but so far this has only been demonstrated in mammals. We investigated this idea in the subdesert mesite, a group-living bird that produces communal songs during aggressive territorial interactions with other groups. Where groups compete as units, differences in group size might outweigh inter-individual differences in determining the outcome of contests. Given this species' variable social system, we predicted that the composition of groups would also influence their resource holding potential. Playback experiments showed that the number of simulated intruders significantly influenced the strength of response by defending groups hearing the stimulus: groups were less likely to approach but gave more protracted and more communal vocal responses as the number of vocalising intruders increased. We found that the likelihood of a group approaching playback increased as the ratio between the number of males in the defending group and the number of males in the intruding group increased. Furthermore, the ratio of adult males to females in the defending group significantly affected the probability of approach, with the probability increasing as groups became more male-biased. This finding supports the idea that the social structure of groups may be important in determining the outcome of contests between groups. Overall this study provides some indication in birds of relative numerical assessment based on vocal cues.",MA55,KJB,include,intraspecific,"competition, experiment",Doubting
Mycorrhizal symbiosis and plant reproduction,"Reproduction is an essential function of all organisms and, for many crop species, reproductive structures are the principle edible parts. Still, relatively little is known about the effects of the mycorrhizal symbiosis on host plant reproduction. Common limitations to reproduction include nutrient deficiency, herbivory and disease, and mycorrhizal fungi can influence each of these. Several aspects of sexual reproduction may be influenced by colonization of mycorrhizal fungi including the timing of reproductive events, the number of inflorescences per plant, the number of flowers per inflorescence, the amount of pollen per flower, the proportion of flowers producing fruits, and the number of seeds per fruit. Seed quality can also be strongly influenced by colonization of mycorrhizal fungi, resulting in variation in seedling vigor and resultant competitive ability. Because infection by mycorrhizal fungi can influence interactions among plants, it may lead to variation among individuals in their contributions to the next generation and, therefore, may control the genetic structures of populations and communities.  Springer Science+Business Media B.V. 2010.",MA253,KJB,exclude,interspecific,,"Is more about how infections can lead to changing selection gradients, which then leads to differences in the population"
The forager's dilemma: Food sharing and food defense as risk-sensitive foraging options,"Although many variants of the hawk-dove game predict the frequency at which group foraging animals should compete aggressively, none of them can explain why a large number of group foraging animals share food clumps without any overt aggression. One reason for this shortcoming is that hawk-dove games typically consider only a single contest, while most group foraging situations involve opponents that interact repeatedly over discovered food clumps. The present iterated hawk-dove game predicts that in situations that are analogous to a prisoner's dilemma, animals should share the resources without aggression, provided that the number of simultaneously available food clumps is sufficiently large and the number of competitors is relatively small. However, given that the expected gain of an aggressive animal is more variable than the gain expected by nonaggressive individuals, the predicted effect of the number of food items in a clump-clump richness-depends on whether only the mean or both the mean and variability associated with payoffs are considered. More precisely, the deterministic game predicts that aggression should increase with clump richness, whereas the stochastic risk-sensitive game predicts that the frequency of encounters resulting in aggression should peak at intermediate clump richnesses or decrease with increasing clump richness if animals show sensitivity to the variance or coefficient of variation, respectively.",MA376,KJB,include,interspecific,"modelling, competition",Variation in food items might induce variation in optimal foraging behaviour (and competition behaviour) of predators.
"Spider mite (Acari: Tetranychidae) mitochondrial COI phylogeny reviewed: Host plant relationships, phylogeography, reproductive parasites and barcoding","The past 15 years have witnessed a number of molecular studies that aimed to resolve issues of species delineation and phylogeny of mites in the family Tetranychidae. The central part of the mitochondrial COI region has frequently been used for investigating intra- and interspecific variation. All these studies combined yield an extensive database of sequence information of the family Tetranychidae. We assembled this information in a single alignment and performed an overall phylogenetic analysis. The resulting phylogeny shows that important patterns have been overlooked in previous studies, whereas others disappear. It also reveals that mistakes were made in submitting the data to GenBank, which further disturbed interpretation of the data. Our total analysis clearly shows three clades that most likely correspond to the species T. urticae, T. kanzawai and T. truncatus. Intraspecific variation is very high, possibly due to selective sweeps caused by reproductive parasites. We found no evidence for host plant associations and phylogeographic patterns in T. urticae are absent. Finally we evaluate the application of DNA barcoding.  2007 Springer Science+Business Media B.V.",MA349,KJB,exclude,,,
"Mutualism, market effects and partner control","Intraspecific cooperation and interspecific mutualism often feature a marked asymmetry in the scope for exploitation. Cooperation may nevertheless persist despite one-sided opportunities for cheating, provided that the partner vulnerable to exploitation has sufficient control over the duration of interaction. The effectiveness of the threat of terminating an encounter, however, depends upon the ease with which both the potential victim and the potential exploiter can find replacement partners. Here, we extend a simple, game-theoretical model of this form of partner control to incorporate variation in the relative abundance of potential victims and exploiters, which leads to variation in the time required for individuals of each type to find a new partner. We show that such market effects have a dramatic influence on the stable level of exploitation (and consequent duration of interaction). As the relative abundance of victims decreases, they become less tolerant to exploitation, terminating encounters earlier (for a given level of exploitation), whereas exploiters behave in a more cooperative manner. As a result, the stable duration of interaction actually increases, despite the decreasing tolerance of the victims. Below a critical level of relative victim abundance, the model suggests that the cost of finding a replacement partner becomes so great that it does not pay to exploit at all.",MA252,KJB,include,intraspecific,"competition, modelling, cheating",
"Male dominance relationships in an extremely large chimpanzee community at Ngogo, Kibale National Park, Uganda","Male dominance hierarchies occur in many group-living primates and some non-primate mammals. Variation in aspects of agonistic relationships such as how many dyads show bidirectionality in aggression leads to variation in dominance hierarchies along a continuum from egalitarian (relatively small agonistic power differences between adjacently-ranked individuals, shallow hierarchies) to despotic (relatively large differences, steep hierarchies). Ranks usually depend mostly or entirely on individual characteristics that influence fighting ability (e.g., body size) and show inverse-U shaped relationships to age. However, coalitionary support sometimes also influences ranks. Chimpanzees (Pan troglodytes) form multi-male, multi-female communities within which males compete for status. Males typically form dominance hierarchies, and data from multiple study show that rank is positively related to paternity success. Males also often form coalitions and some dyads form long-term alliances. Effective coalitionary support can help individuals improve and maintain their ranks, and some evidence supports the hypothesis that coalitionary aggression generally, and the positions that males hold in coalitions networks specifically, influences paternity success. Hierarchy steepness varies among communities and within communities over time; variation in the number of prime-aged males per community is a likely source of this variation. Long-term data from an extremely large chimpanzee community with unusually many males, at Ngogo, Kibale National Park, Uganda, are largely consistent with previous analyses of male chimpanzee dominance hierarchies, but show several notable contrasts. Males at Ngogo formed significantly linear hierarchies and hierarchy steepness was greater than expected if the outcomes of agonistic interactions were random. However, variation in steepness did not show the significant inverse relationship to the number of ``prime-aged{''} males documented for other chimpanzee communities and average steepness was high given the large number of males. Ranks showed an inverse-U shaped relationship to age, although individual rank trajectories varied considerably, but males attained their highest lifetime ranks at later ages and maintained relatively high ranks to later ages than those at other chimpanzee research sites. Two measures of coalition networks, strength and Bonacich power, showed significant positive relationships with male ranks. Strength is the rate at which males joined coalitions. Bonacich power is a measure of network centrality that assesses a male's relational power, or influence (Bonacich, 1987): a male with high Bonacich power formed coalitions with relatively many other males who were also central in the coalition network, i.e., he was strongly connected to powerful others. On average, males also attained maximum values for these and other network measures relatively late and maintained relatively high values to relatively late ages. High coalition network strength, Bonacich power, and eigenvector centrality early in adulthood were associated with high peak ranks at later ages. However, the direction of causality between participation in coalition networks and ranks is not yet clear, and the effects of body size on dominance ranks and individual rank trajectories remains to be explored. Ngogo is a favourable habitat for chimpanzees and survivorship there is unusually high; this presumably facilitates the ability of males to maintain high competitive ability longer than at other sites and shifts rank trajectories toward older ages and leads to relatively steep hierarchies despite the fact that many male dyads have similar competitive ability. Future work will assess the impact of coalitions on dominance relationships in more detail and the relationship of coalitionary aggression to paternity success.",MA234,KJB,exclude,,,
Social behaviour and gut microbiota in red-bellied lemurs (Eulemur rubriventer): In search of the role of immunity in the evolution of sociality,"Vertebrate gut microbiota form a key component of immunity and a dynamic link between an individual and the ecosystem. Microbiota might play a role in social systems as well, because microbes are transmitted during social contact and can affect host behaviour. Combining methods from behavioural and molecular research, we describe the relationship between social dynamics and gut microbiota of a group-living cooperative species of primate, the red-bellied lemur (Eulemur rubriventer). Specifically, we ask whether patterns of social contact (group membership, group size, position in social network, individual sociality) are associated with patterns of gut microbial composition (diversity and similarity) between individuals and across time. Red-bellied lemurs were found to have gut microbiota with slight temporal fluctuations and strong social group-specific composition. Contrary to expectations, individual sociality was negatively associated with gut microbial diversity. However, position within the social network predicted gut microbial composition. These results emphasize the role of the social environment in determining the microbiota of adult animals. Since social transmission of gut microbiota has the potential to enhance immunity, microbiota might have played an escalating role in the evolution of sociality.  2017 The Authors. Journal of Animal Ecology  2017 British Ecological Society",MA328,KJB,exclude,interspecific,microbiota,"note entirely sure about this one. Main point seems to be that more diverse microbiota are correlated to less social individuals, but no causality is determined (I suppose)"
Complement of integrated fertilizer management and integrated pest management concepts to ameliorate faba bean growth and yield [Ergnzung des integrierten dngungs und krankheitsmanagements zur verbesserung des wachstums und ertrags von ackerbohnen],"Twenty-one microbial preparations recommended for controlling pathogenic fungal strains causing root rot and wilt diseases of faba bean were investigated for antibiosis against several symbiotic and associative diazotrophs adopting a modified agar-plate-inhibition-zone assay. Rhizobium and Bradyrhizobium exhibited a somewhat similar susceptibility to biocontrol agents while associative diazotrophs showed variable responses. Azotobacter, compared to others, was severely inhibited by such bio-candidates. The members of the biofertilizer formulation Biofertan did bear mixed cultivation with the majority of biocontrol agents. Among those, Bacillus subtilis was deemed the pioneer. In pot experiments, almost all the antagonists significantly restricted the severity of root rot and wilt diseases besides modifying faba bean seedling stand and improving plant development. This was very obvious with shoot biomass increases of >50%. Moreover, the bioagents successfully recovered the legume establishment, seriously injured due to pathogenic fungal infection. Simultaneous inoculation with Rhizobium and biocontrol agents provided more growth stimulation compared to either when introduced individually. Field-grown faba beans were inoculated with the diazotroph and representatives of biocontrol strains by two different methods, seed coating and over-head soil. Growth parameters determined were the highest when the legume plant was seed-coated by Rhizobium simultaneously over-head soil inoculated with the bacterial bioagents; this was reported with Bacillus subtilis and Pseudomonas aerugenosa. The significance of combined application of biofertilizer and bioagent to ensure cheap, clean and safe farm products is discussed.  2004 Taylor & Francis Ltd.",MA65,KJB,exclude,,,
Modelling the co-evolution of indirect genetic effects and inherited variability,"When individuals interact, their phenotypes may be affected not only by their own genes but also by genes in their social partners. This phenomenon is known as Indirect Genetic Effects (IGEs). In aquaculture species and some plants, however, competition not only affects trait levels of individuals, but also inflates variability of trait values among individuals. In the field of quantitative genetics, the variability of trait values has been studied as a quantitative trait in itself, and is often referred to as inherited variability. Such studies, however, consider only the genetic effect of the focal individual on trait variability and do not make a connection to competition. Although the observed phenotypic relationship between competition and variability suggests an underlying genetic relationship, the current quantitative genetic models of IGE and inherited variability do not allow for such a relationship. The lack of quantitative genetic models that connect IGEs to inherited variability limits our understanding of the potential of variability to respond to selection, both in nature and agriculture. Models of trait levels, for example, show that IGEs may considerably change heritable variation in trait values. Currently, we lack the tools to investigate whether this result extends to variability of trait values. Here we present a model that integrates IGEs and inherited variability. In this model, the target phenotype, say growth rate, is a function of the genetic and environmental effects of the focal individual and of the difference in trait value between the social partner and the focal individual, multiplied by a regression coefficient. The regression coefficient is a genetic trait, which is a measure of cooperation; a negative value indicates competition, a positive value cooperation, and an increasing value due to selection indicates the evolution of cooperation. In contrast to the existing quantitative genetic models, our model allows for co-evolution of IGEs and variability, as the regression coefficient can respond to selection. Our simulations show that the model results in increased variability of body weight with increasing competition. When competition decreases, i.e., cooperation evolves, variability becomes significantly smaller. Hence, our model facilitates quantitative genetic studies on the relationship between IGEs and inherited variability. Moreover, our findings suggest that we may have been overlooking an entire level of genetic variation in variability, the one due to IGEs.",MA245,KJB,include,intraspecific,modelling,based on the abstract it is hard to see whether there might be some relevant results in the paper.
Competition in a group of equal foragers,"Using techniques from renewal process theory, we build a stochastic model for gain accumulation in a group of equal competitors foraging in a patchy environment. The model for gain of the individuals is based on the waiting times between subsequent prey encounters by the group. These waiting times depend on the number of foragers in the group. A single parameter of this dependency encompasses a variety of foraging scenarios, from cooperation to scramble. With constant patch size, correlations between gains of any pair of foragers are negative. This dependency is most intense in small groups. Increased variation in patch size makes correlations in gains between group members positive irrespective of the group size. For a solitary forager, variance in gain approaches zero with increasing time in the patch. For an individual member in a group, variance grows monotonically. Thus, depending on the patch departure rule controlling the time to be spent in the patch, solitary foragers may have a smaller variance in gain than members in a group. As solitary foragers also potentially harvest all prey in the patch, it is hard to believe that grouping behavior would evolve solely on the basis of foraging.",MA61,KJB,exclude,intraspecific,modelling,
"Behavioural and Hormonal Stress Responses to Social Separation in Ravens, Corvus corax","Social life is profitable, but it facilitates conflicts over resources and creates interdependence between individuals. Separating highly social animals triggers intense reactions aimed at re-establishing lost connections. Less is known, however, about behavioural and physiological responses to separation in socially facultative species, where individuals temporarily form groups and may subsequently leave them. Non-breeding common ravens (Corvus corax) gather in large numbers at feeding and roosting sites, but otherwise spend time seemingly solitary or in small subgroups. We here studied how ravens cope with being socially isolated, and investigated the life characteristics that might explain potential individual differences. For this, we individually separated captive subadult ravens (n=25) and housed them in physical and visual isolation from their group members across 4d. During the separation period, we collected behavioural data and measured the amount of immunoreactive corticosterone metabolites from bird droppings to assess the ravens physiological stress response. We found behavioural indicators of stress at the start of the separation, when ravens showed higher levels of tension than of comfort  a pattern that reversed at the end of the separation. Furthermore, we found that the upbringing of ravens affected their behaviour during separation. Hand-raised birds produced more vocalisations in the beginning of the separation, and were less active at the end, while the reverse pattern occurred with parent-raised ravens. Contrary to our predictions, we did not find differences in hormonal responses between the beginning and end of the separation period or any link between hormonal responses and behaviours. Ravens behavioural responses to social separation stress seem to be dependent on their arousal states, although possible links with hormonal reactions remain unclear. Our results show that behavioural reactions are not always linked with hormonal responses to stress, and further emphasise the importance of investigating effects of early-life experiences.  2016 The Authors. Ethology Published by Blackwell Verlag GmbH.",MA31,KJB,exclude,,,
Selfish Mitonuclear Conflict,"Mitochondria, a nearly ubiquitous feature of eukaryotes, are derived from an ancient symbiosis. Despite billions of years of cooperative coevolution  in what is arguably the most important mutualism in the history of life  the persistence of mitochondrial genomes also creates conditions for genetic conflict with the nucleus. Because mitochondrial genomes are present in numerous copies per cell, they are subject to both within- and among-organism levels of selection. Accordingly, selfish genotypes that increase their own proliferation can rise to high frequencies even if they decrease organismal fitness. It has been argued that uniparental (often maternal) inheritance of cytoplasmic genomes evolved to curtail such selfish replication by minimizing within-individual variation and, hence, within-individual selection. However, uniparental inheritance creates conditions for cytonuclear conflict over sex determination and sex ratio, as well as conditions for sexual antagonism when mitochondrial variants increase transmission by enhancing maternal fitness but have the side-effect of being harmful to males (i.e., mother's curse). Here, we review recent advances in understanding selfish replication and sexual antagonism in the evolution of mitochondrial genomes and the mechanisms that suppress selfish interactions, drawing parallels and contrasts with other organelles (plastids) and bacterial endosymbionts that arose more recently. Although cytonuclear conflict is widespread across eukaryotes, it can be cryptic due to nuclear suppression, highly variable, and lineage-specific, reflecting the diverse biology of eukaryotes and the varying architectures of their cytoplasmic genomes. Havird et al. explain how mitochondrial and nuclear genomes can come into conflict with one another and how this fits into specific features of organelle/host biology, such as the commonly observed uniparental inheritance of mitochondria.  2019 Elsevier Ltd",MA313,KJB,exclude,,,
Modification of insect and arachnid behaviours by vertically transmitted endosymbionts: Infections as drivers of behavioural change and evolutionary novelty,"Vertically acquired, endosymbiotic bacteria such as those belonging to the Rickettsiales and the Mollicutes are known to influence the biology of their arthropod hosts in order to favour their own transmission. In this study we investigate the influence of such reproductive parasites on the behavior of their insects and arachnid hosts. We find that changes in host behavior that are associated with endosymbiont infections are not restricted to characteristics that are directly associated with reproduction. Other behavioural traits, such as those involved in intraspecific competition or in dispersal may also be affected. Such behavioural shifts are expected to influence the level of intraspecific variation and the rate at which adaptation can occur through their effects on effective population size and gene flow amongst populations. Symbionts may thus influence both levels of polymorphism within species and the rate at which diversification can occur.  2012 by the authors; licensee MDPI, Basel, Switzerland.",MA247,KJB,exclude,,,
"Rates of parasitism, but not allocation of egg resources, vary among and within hosts of a generalist avian brood parasite","Brown-headed cowbirds (Molothrus ater) deposit their eggs into the nests of other birds, which then raise the cowbird chick. Female cowbirds thus have limited options for impacting their offsprings development via maternal effects compared to most other passerines. Cowbirds can impact their offsprings phenotype by choosing among potential host nests, and by adjusting egg resources based on host characteristics. To examine whether cowbirds exhibit either or both of these strategies, we investigated rates of cowbird parasitism and egg investment (egg size, yolk-to-albumen ratio, and yolk testosterone and androstenedione) among and within host species in a shrubland bird community. We found that the probability of being parasitized by cowbirds, controlling for host status as a cowbird egg accepter or rejecter and ordinal date, varied significantly among host species, indicating an apparent preference for some hosts. Parasitism rates did not differ with host size, however, and despite variation in cowbird egg size among host species, this variation was not related to host size or cowbird preference. Among host species with eggs that are larger than those of the cowbird, cowbirds were significantly more likely to parasitize nests with relatively smaller eggs, whereas parasitism rates did not vary with relative egg size in host species with smaller eggs. There was no evidence for variation in cowbird egg components among or within host species. Our data indicate that cowbirds discriminate among host nests, but do not appear to adjust the composition of their eggs based on inter- or intraspecific host variation.  2017, Springer-Verlag Berlin Heidelberg.",MA299,KJB,exclude,,,
Developmental plasticity and social specialization in cooperative societies,"Cooperative breeding systems showcase the diversity of social trajectories within and among species, ranging from the extremes of eusocial insects where individuals become irreversibly specialized as fecund queens or sterile workers, to vertebrate systems where individuals maintain the flexibility to breed throughout life. Between these extremes lies a continuum with individuals exhibiting varying degrees of specialization in their behaviour. Most research on cooperative breeders, particularly on vertebrate systems, has focused on why helping has evolved, rather than addressing this diversity. Here, we present a framework to explain variation in the timing, extent and flexibility of phenotypic divergence across vertebrate and invertebrate cooperative systems. We base our framework on recent theory about how individuals integrate information about the environment from different sources (genes, parents and direct experiences) when establishing their developmental trajectory. We discuss how the timing and degree of divergence and specialization are influenced by the availability and reliability of information about later fitness options and by the extent to which individuals have control over their development. Throughout, we use this developmental perspective to draw broad comparisons across vertebrate and invertebrate systems, which are often considered separately. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",MA90,KJB,exclude,,,
Hotspots of damage by antagonists shape the spatial structure of plant-pollinator interactions,"The balance between mutualistic and antagonistic plant-animal interactions and their spatial variation results in a highly dynamic mosaic of reproductive success within plant populations. Yet, the ecological drivers of this small-scale heterogeneity of interaction patterns and their outcomes remain virtually unexplored. We analyzed spatial structure in the frequency and intensity of interactions that vertebrate pollinators (birds and lizards) and invertebrate antagonists (florivores, nectar larcenists, and seed predators) had when interacting with the insular plant Isoplexis canariensis, and their effect on plant fitness. Spatially autocorrelated variation in plant reproductive success (fruit and viable seed set) emerged from the combined action of mutualists and antagonists, rather than reflecting the spatial pattern of any specific animal group. However, the influence of antagonists on plant fitness was stronger primarily due to the florivores' action on earlier reproductive stages, consuming and damaging floral structures before the arrival of pollinators. Our results indicate that the early action of antagonists creates hotspots of increased plant damage, where the effects of later acting mutualists are not translated into increased reproductive benefits. We foresee the potential for antagonists to shape the intra-population mosaics of plant fitness in situations where antagonists outnumber mutualists, when their interactions occur before those of mutualists, and when mutualists can detect and avoid damaged plants while foraging. Severely damaged plants in antagonistic hotspots might be excluded from the mating network and render a limited production of viable seeds, reducing both the growth rate of the plant population and the effective population size.",MA187,KJB,exclude,,,
Behavioral genetics and evolutionary psychology: Unified perspective on personality research,"Behavioral geneticists and evolutionary psychologists have generally pursued human behavioral analyses with little theoretical or methodological exchange. However, significant benefits might accrue from increased communication between these disciplines. The primary goals of this article are (1) to identify meaningful junctures between behavioral genetics and evolutionary psychology, (2) to describe behavioral genetic research designs and their applications to evolutionary analyses, and (3) to reassess current personality research in light of behavioral genetic and evolutionary concepts and techniques, The five-factor model of personality is conceptualized as subsuming variation in normative species-typical systems with adaptive functions in the human environment of evolutionary adaptation. Considered as universal evolved mechanisms, personality systems are often seen in dynamic conflict within individuals and as highly compartmentalized in their functioning between settings, However, genetically influenced individual differences in personality may also be understood within an evolutionary framework. Studies of the heritability of personality traits indicate broad-sense heritabilities in the 0.40-0.50 range with evidence of substantial nonadditive genetic variation and nonshared environmental influences. Evidence indicates that evolutionary theory (e.g., inclusive fitness theory) predicts patterns of social interaction (e.g., cooperation and bereavement) in relatives. Furthermore, variation in personality may constitute a range of viable strategies matching the opportunities available in the complex niche environment of human societies. Within this wide range of viable strategies, personality variation functions as a resource environment for individuals in the sense that personality variation is evaluated according to the interests of the evaluator (e.g., friendships, coalitions, or mate choice).",MA30,KJB,exclude,,,
The fundamental role of competition in the ecology and evolution of mutualisms,"Mutualisms are interspecific interactions that yield reciprocal benefits. Here, by adopting a consumer-resource perspective, we show how considering competition is necessary in order to understand the evolutionary and ecological dynamics of mutualism. We first review the ways in which competition shapes the ecology of mutualisms, using a graphical framework based on resource flows rather than net effects to highlight the opportunities for competition. We then describe the known mechanisms of competition and show how it is a critical driver of the evolutionary dynamics, persistence, and diversification of mutualism. We argue that empirical and theoretical research on the ecology and evolution of mutualisms will jointly progress by addressing four key points: (i) the existence and shape of physiological trade-offs among cooperation, competition, and other life-history and functional traits; (ii) the capacity for individuals to express conditional responses to variation in their mutualistic and competitive environment; (iii) the existence of heritable variation for mutualistic and competitive traits and their potentially conditional expression; and (iv) the structure of the network of consumer-resource interactions in which individuals are embedded.",MA377,KJB,include,interspecific,review,
Natural and human economies compared,"Human economies and natural ecosystems (natural economies) share fundamental properties. Both are adaptive, cooperative systems where agents-individuals and groups-compete for locally limiting resources needed to live and reproduce. Successful competitors differentially propagate better knowledge and technology for making a living. Competition has favored innovations, diversification (of species or human occupations), higher productivity, greater interdependence among economic agents, and the emergence of more powerful, interactive individuals and groups, so productivity, diversity, and scales of activity have tended to increase over time. Because economic innovations accumulate, these trends have accelerated over time in both natural and human economies. The shift from mainly genetic origin and transmission of adaptation in natural economies to mainly cultural adaptation among human beings has accelerated these trends dramatically, and made the modern human economy extraordinarily dependent on nonrenewable resources and much more vulnerable to monopolies and tragedies of the commons, internally generated threats less common or less destructive in natural economies. In nature, these internal disruptions are overcome by the advent of new agents, often not involved in causing these disruptions, that compete in new ways. We argue that a comparable shift in societal norms, which govern individual and group status in human society, is needed to keep monopolies and tragedies of the commons from harming both the human economy and the ecosystems on which we depend.  2011 Vermeij and Leigh.",MA255,KJB,exclude,,,
"The origins of consistent individual differences in cooperation in wild banded mongooses, Mungos mungo","Individual differences in contributions to cooperation can be strikingly consistent over time giving rise to alternative cooperative phenotypes within animal societies. Following the social niche specialization hypothesis, these consistent differences may be driven by social conflict over reproductive opportunities if individuals specializing as `breeders' and `nonbreeders' experience a beneficial reduction in social conflict and differential costs associated with cooperating. This hypothesis gives three testable predictions: (1) consistent individual differences in cooperative behaviour will be accompanied by consistent individual differences in reproductive behaviour, (2) individuals contributing heavily to reproduction will contribute relatively little to cooperative behaviours within the same breeding attempt and vice versa, and (3) individuals that consistently contribute heavily to reproduction over their lifetime will also consistently contribute less to cooperative behaviours and vice versa. We tested these predictions with a 15-year investigation into the lifetime patterns of mate guarding and two forms of cooperative offspring care ('babysitting' and `escorting') in a wild population of banded mongooses. We found significant repeatability of individual contributions to both cooperative behaviours, as well as significant repeatability of individual levels of mate guarding. However, we found no evidence of negative covariance between contributions to cooperative and reproductive behaviours either within breeding attempts or across lifetimes. This suggests that the observed consistent individual differences in both cooperative behaviour and reproduction are not associated; there is no evidence of a trade-off between reproduction and cooperation. However, we found a significant positive covariance between babysitting and escorting when estimated both within breeding attempts and across lifetimes, which suggests that some group members are generally more cooperative than others, contributing more to both behaviours over their lifetimes. The drivers of this consistent individual variation in contributions to cooperation remain unknown. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd.",MA384,KJB,exclude,,,The last sentence of the abstract is almost completely the opposite of the titel
Social influences on survival and reproduction: Insights from a long-term study of wild baboons,"For social species, the environment has two components: physical and social. The social environment modifies the individual's interaction with the physical environment, and the physical environment may in turn impact individuals social relationships. This interplay can generate considerable variation among individuals in survival and reproduction. Here, I synthesize more than four decades of research on the baboons of the Amboseli basin in southern Kenya to illustrate how social and physical environments interact to affect reproduction and survival. For immature baboons, social behaviour can both mitigate and exacerbate the challenge of survival. Only c. 50% of live-born females and c. 44% of live-born males reach the median age of first reproduction. Variation in pre-adult survival, growth and development is associated with multiple aspects of the social environment. For instance, conspecifics provide direct care and are a major source of social knowledge about food and the environment, but conspecifics can also represent a direct threat to survival through infanticide. In adulthood, both competition (within and between social groups) and cooperative affiliation (i.e. collective action and/or the exchange of social resources such as grooming) are prominent features of baboon social life and have important consequences for reproduction and survival. For instance, adult females with higher social dominance ranks have accelerated reproduction, and adult females that engage in more frequent affiliative social interactions have higher survival throughout adulthood. The early life environment also has important consequences for adult reproduction and survival, as in a number of other bird and mammal species. In seasonal breeders, early life effects often apply to entire cohorts; in contrast, in nonseasonal and highly social species such as baboons, early life effects are more individual-specific, stemming from considerable variation not only in the early physical environment (even if they are born in the same year) but also in the particulars of their social environment.  2018 The Authors. Journal of Animal Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society",MA335,KJB,exclude,,,
