"label","title","author","journal","issn","volume","number","pages","year","doi","abstract","n_duplicates"
"X.ISI.000374563600015","Intergroup encounters in Verreaux's sifakas (Propithecus verreauxi): who fights and why?","Koch, Flavia and Signer, Johannes and Kappeler, Peter M. and Fichtel, Claudia","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY","0340-5443","70","5","797-808","2016","10.1007/s00265-016-2105-3","Individuals living in groups have to achieve collective action for successful territorial defense. Because conflicts between neighboring groups always involve risks and costs, individuals must base their decision to participate in a given conflict on an evaluation of the trade-off between potential costs and benefits. Since group members may differ in motivation to engage in group encounters, they exhibit different levels of participation in conflicts. In this study, we investigated factors influencing participation in intergroup encounters in Verreaux's sifakas (Propithecus verreauxi), a group-living primate from Madagascar. Over a period of 12 months, we studied eight adjacent sifaka groups in Kirindy Forest. We observed 71 encounters between known neighboring groups in which adult females and males participated equally as often. No individual participated in every encounter, and non-participation occurred more often in larger groups. Females participated less often in encounters when they had dependent infants, presumably to reduce the risk of infanticide. Male participation was influenced by social status: dominant males participated in most encounters, whereas males with fewer opportunities to reproduce participated less often, hence male participation is influenced by the incentive of maintaining access to females. The number of actively participating individuals in the opponent group positively influenced the participation in both sexes. Thus, sifakas seem to decide joining a given encounter opportunistically, most likely based on a combination of individual incentives and the actual circumstance of each encounter, suggesting that the complexity in intergroup relationships appears to be the product of decisions made by each individual group member. Cooperation among group-living animals is often challenged by collective action problems resulting from individual differences in interests in contributing to collective behaviors. Intergroup encounters involve distinguished costs and benefits for each individual despite being in the same social group. Therefore, encounters between groups offer a good opportunity to investigate individual participation in collective action. In this study, we investigate the influence of different incentives on individual participation in intergroup encounters in wild Malagasy primate, Verreaux's sifakas. We propose a novel approach that takes into account the variable circumstances of each conflict, such as the number of individuals fighting in both groups as a predictor for participation. We believe that our study not only provides novel data on wild sifakas, but it also offers new perspectives for the interpretation of intergroup relationships in other taxa.",2
"X.ISI.000370888300003","Bargaining power and adolescent aggression: the role of fighting ability, coalitional strength, and mate value","Sell, Aaron and Eisner, Manuel and Ribeaud, Denis","EVOLUTION AND HUMAN BEHAVIOR","1090-5138","37","2","105-116","2016","10.1016/j.evolhumbehav.2015.09.003","Basic models of animal conflict show that animals with more bargaining power can expect a larger share of resources and more frequently deploy aggression when challenged. Bargaining power comes from multiple sources including formidability (e.g. personal fighting ability) and cooperative value (e.g. mate value). Here, we apply this basic conceptual framework to human adolescents and test seven core hypotheses derived from this paradigm on a large sample of Swiss students (N = 1447; 15-17 years old). Three components of bargaining power were measured in males and females: fighting ability, coalitional strength, and mate value. Fighting ability and mate value reliably predicted aggression, aggressive attitudes, and delinquent behavior in both boys and girls. The effect of fighting ability on aggression was predictably larger and more robust in males than females. Coalitional strength also reliably predicted aggressive bargaining in boys but less consistently in girls. Regression analyses showed that the effect of each component of bargaining power was independent and survived numerous controls. Results support the thesis that individual differences in aggressive behavior result, in part, from individual differences in bargaining power. (C) 2016 Elsevier Inc. All rights reserved.",2
"X.ISI.000374207800016","Information use and resource competition: an integrative framework","Lee, Alexander E. G. and Ounsley, James P. and Coulson, Tim and Rowcliffe, J. Marcus and Cowlishaw, Guy","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452","283","1825",NA,"2016","10.1098/rspb.2015.2550","Organisms may reduce uncertainty regarding how best to exploit their environment by collecting information about resource distribution. We develop a model to demonstrate how competition can facilitate or constrain an individual's ability to use information when acquiring resources. As resource distribution underpins both selection on information use and the strength and nature of competition between individuals, we demonstrate interdependencies between the two that should be common in nature. Individuals in our model can search for resources either personally or by using social information. We explore selection on social information use across a comprehensive range of ecological conditions, generalizing the producer scrounger framework to a wide diversity of taxa and resources. We show that resource ecology defined by scarcity, depletion rate and monopolizability determines patterns of individual differences in social information use. These differences suggest coevolutionary processes linking dominance systems and social information use, with implications for the evolutionary demography of populations.",2
"X.ISI.000367474300005","Individual variation behind the evolution of cooperation","Barta, Zoltan","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","371","1687",NA,"2016","10.1098/rstb.2015.0087","Life on Earth has two remarkable properties. The first is variation: even apart from the vast number of extant species, there are considerable differences between individuals within a single species. The second property is cooperation. It is surprising that until recently the interactions between these two properties have rarely been addressed from an evolutionary point of view. Here, I concentrate on how inter-individual differences influence the evolution of cooperation. First, I deal with cases where individuality is maintained by random processes like mutation or phenotypic noise. Second, I examine when differences in state cause differences in behaviour. Finally, I investigate the effects of individual role specialization. Variation can be important in several ways. Increased random variation can change the expectation about cooperativeness of future partners, altering behaviour in a current relationship. Differences in state may serve as a book-keeping mechanism that is necessary for the evolution of reciprocity. If the cost of cooperation can depend on state then strategic regulation of state makes it possible to coerce partners to cooperate. If conditions force individuals to specialize, cooperation becomes more valuable. My review of theoretical models suggests that variation plays an important role in the evolution of cooperation.",2
"X.ISI.000367474300013","Adaptations for social cognition in the primate brain","Platt, Michael L. and Seyfarth, Robert M. and Cheney, Dorothy L.","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","371","1687",NA,"2016","10.1098/rstb.2015.0096","Studies of the factors affecting reproductive success in group-living monkeys have traditionally focused on competitive traits, like the acquisition of high dominance rank. Recent research, however, indicates that the ability to form cooperative social bonds has an equally strong effect on fitness. Two implications follow. First, strong social bonds make individuals' fitness interdependent and the `free-rider' problem disappears. Second, individuals must make adaptive choices that balance competition and cooperation-often with the same partners. The proximate mechanisms underlying these behaviours are only just beginning to be understood. Recent results from cognitive and systems neuroscience provide us some evidence that many social and non-social decisions are mediated ultimately by abstract, domain-general neural mechanisms. However, other populations of neurons in the orbitofrontal cortex, striatum, amygdala and parietal cortex specifically encode the type, importance and value of social information. Whether these specialized populations of neurons arise by selection or through developmental plasticity in response to the challenges of social life remains unknown. Many brain areas are homologous and show similar patterns of activity in human and non-human primates. In both groups, cortical activity is modulated by hormones like oxytocin and by the action of certain genes that may affect individual differences in behaviour. Taken together, results suggest that differences in cooperation between the two groups are a matter of degree rather than constituting a fundamental, qualitative distinction.",2
"X.ISI.000368923100016","Dominance in domestic dogs-A response to Schilder et al. (2014)","Bradshaw, John W. S. and Blackwell, Emily-Jayne and Casey, Rachel A.","JOURNAL OF VETERINARY BEHAVIOR-CLINICAL APPLICATIONS AND RESEARCH","1558-7878","11","SI","102-108","2016","10.1016/j.jveb.2015.11.008","We here respond to the claim by Schilder and colleagues (Schilder, M. B. H., Vinke, C. M., van der Borg, J. A. M., 2014. Dominance in domestic dogs revisited: Useful habit and useful construct? J. Vet. Behav.: Clin. App. Res. 9, 184-191) that dominance is a useful construct in the interpretation of companion dog behavior. We first make the distinction between the well-established use of the dominance framework in the ethology of wild species, and its more contentious use in the domestic dog as a character trait and as a descriptor of motivation. By evaluating recent studies of canine ``personality{''} (individual differences in behavior that are consistent across time and context), we conclude that there is no evidence that dominance is a character trait of individual dogs, but rather that it is a property of relationships, that can arise due to asymmetries in any one of at least 3 distinct personality traits. We question whether concepts derived from wolf behavior have much utility in interpreting the behavior of domestic dogs because recent studies of groups of free-ranging dogs confirm that the dog has lost 3 traits key to the social organization of the gray wolf, namely coordinated group hunting, reproductive suppression, and provisioning of cubs by nonreproducing relatives. We further question whether studies of free-ranging dogs, which routinely compete for physical resources, provide an appropriate framework for interpreting the behavior of companion dogs, which generally do not. We then reinterpret Schenkel's ``active submission{''} posture as primarily affiliative and an indicator of the dependence of younger, inexperienced dogs on the older members of their social group. By reviewing the key literature on the cognitive abilities of domestic dogs and other social Carnivora, we demonstrate that the primate-based ``Utrecht School{'' model of dominance makes assumptions that are invalid for domestic dogs, because the overwhelming balance of evidence indicates that relationships among social Carnivora are based on noncognitive mechanisms. We conclude by examining the implications of Schilder and colleagues' model for the management of relationships between dogs and their owners. (C) 2016 Elsevier Inc. All rights reserved.",2
"X.ISI.000363763100009","When cooperation begets cooperation: the role of key individuals in galvanizing support","McAuliffe, Katherine and Wrangham, Richard and Glowacki, Luke and Russell, Andrew F.","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","370","1683",NA,"2015","10.1098/rstb.2015.0012","Life abounds with examples of conspecifics actively cooperating to a common end, despite conflicts of interest being expected concerning how much each individual should contribute. Mathematical models typically find that such conflict can be resolved by partial-response strategies, leading investors to contribute relatively equitably. Using a case study approach, we show that such model expectations can be contradicted in at least four disparate contexts: (i) bi-parental care; (ii) cooperative breeding; (iii) cooperative hunting; and (iv) human cooperation. We highlight that: (a) marked variation in contributions is commonplace; and (b) individuals can often respond positively rather than negatively to the contributions of others. Existing models have surprisingly limited power in explaining these phenomena. Here, we propose that, although among-individual variation in cooperative contributions will be influenced by differential costs and benefits, there is likely to be a strong genetic or epigenetic component. We then suggest that selection can maintain high investors (key individuals) when their contributions promote support by increasing the benefits and/or reducing the costs for others. Our intentions are to raise awareness in-and provide testable hypotheses of-two of the most poorly understood, yet integral, questions regarding cooperative ventures: why do individuals vary in their contributions and when does cooperation beget cooperation?",2
"X.ISI.000366731500010","Male monkeys fight in between-group conflicts as protective parents and reluctant recruits","Arseneau, T. Jean M. and Taucher, Anouk-Lisa and van Schaik, Carel P. and Willems, Erik P.","ANIMAL BEHAVIOUR","0003-3472","110",NA,"39-50","2015","10.1016/j.anbehav.2015.09.006","In many social species, group members cooperate to defend a communal home range. Fighting in between-group conflicts carries an opportunity cost, a risk of injury or death, and the possibility of exploitation by free-riding group members. As a result, it is rare that all group members fight in a given between-group conflict, and individual participation in range defence is often highly variable. Thus, to understand the patterns of behaviour observed at the group level, we must first understand the causes of within- and between-individual variability. Although sex differences have been well studied, our understanding of the relative importance of the various mechanisms promoting between-group aggression within a sex is limited. We observed the participation of 22 male vervet monkeys, Chlorocebus aethiops pygerythrus, in 126 between-group conflicts, and then partitioned aggressive acts according to the context in which they occurred. Using this approach, we found evidence that two mechanisms drive male between-group aggression and, therefore, that individual variability is in part driven by the multiple selective benefits of participation. First, males that were likely to have sired offspring tended to exhibit defensive aggression and were more active when infants were present in the group, suggesting they fight to defend probable offspring. Second, males were more likely to support females in initiating between-group aggression just prior to, and during, the mating season. Female vervet monkeys are able to exert female choice, and males that frequently supported female instigators tended to enjoy the highest mating success. These results indicate that males probably use between-group aggression to improve their reputation with choosy females and subsequently maximize their mating success. Our findings indicate that a greater understanding of the evolutionary mechanisms promoting cooperative home range defence can be gained if we consider the context in which acts of between-group aggression occur. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2
"X.ISI.000368136600006","Species mtDNA genetic diversity explained by infrapopulation size in a host-symbiont system","Dona, Jorge and Moreno-Garcia, Marina and Criscione, Charles D. and Serrano, David and Jovani, Roger","ECOLOGY AND EVOLUTION","2045-7758","5","24","S801-S809","2015","10.1002/ece3.1842","Understanding what shapes variation in genetic diversity among species remains a major challenge in evolutionary ecology, and it has been seldom studied in parasites and other host-symbiont systems. Here, we studied mtDNA variation in a host-symbiont non-model system: 418 individual feather mites from 17 feather mite species living on 17 different passerine bird species. We explored how a surrogate of census size, the median infrapopulation size (i.e., the median number of individual parasites per infected host individual), explains mtDNA genetic diversity. Feather mite species genetic diversity was positively correlated with mean infrapopulation size, explaining 34\% of the variation. As expected from the biology of feather mites, we found bottleneck signatures for most of the species studied but, in particular, three species presented extremely low mtDNA diversity values given their infrapopulation size. Their star-like haplotype networks (in contrast with more reticulated networks for the other species) suggested that their low genetic diversity was the consequence of severe bottlenecks or selective sweeps. Our study shows for the first time that mtDNA diversity can be explained by infrapopulation sizes, and suggests that departures from this relationship could be informative of underlying ecological and evolutionary processes.",2
"X.ISI.000367562500024","A symbiont's dispersal strategy: condition-dependent dispersal underlies predictable variation in direct transmission among hosts","Skelton, James and Creed, Robert P. and Brown, Bryan L.","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452","282","1819",NA,"2015","10.1098/rspb.2015.2081","Direct horizontal transmission of pathogenic and mutualistic symbionts has profound consequences for host and symbiont fitness alike. While the importance of contact rates for transmission is widely recognized, the processes that underlie variation in transmission during contact are rarely considered. Here, we took a symbiont's perspective of transmission as a form of dispersal and adopted the concept of condition-dependent dispersal strategies from the study of free-living organisms to understand and predict variation in transmission in the cleaning symbiosis between crayfish and ectosymbiotic branchiobdellidan worms. Field study showed that symbiont reproductive success was correlated with host size and competition among worms for microhabitats. Laboratory experiments demonstrated high variability in transmission among host contacts. Moreover, symbionts were more likely to disperse when host size and competition for microhabitat created a fitness environment below a discrete minimum threshold. A predictive model based on a condition-dependent symbiont dispersal strategy correctly predicted transmission in 95\% of experimental host encounters and the exact magnitude of transmission in 67\%, both significantly better than predictions that assumed a fixed transmission rate. Our work provides a dispersalbased understanding of symbiont transmission and suggests adaptive symbiont dispersal strategies can explain variation in transmission dynamics and complex patterns of host infection.",2
"X.ISI.000360846200005","Volatile-mediated location of mutualist host and toxic non-host microfungi by Drosophila larvae","Stoetefeld, Laura and Holighaus, Gerrit and Schuetz, Stefan and Rohlfs, Marko","CHEMOECOLOGY","0937-7409","25","5","271-283","2015","10.1007/s00049-015-0197-2","In analogy to herbivores, fungivorous animals may find suitable host fungi using fungal volatiles as infochemicals and to distinguish between fungi of varying suitability. This study tests the influence of volatiles emitted by micro-fungi, yeast and mould, on the foraging behaviour of facultative fungivorous Drosophila melanogaster larvae. We hypothesised that establishing or avoiding contact with edible yeast (host fungus) and inedible, toxic mould (non-host fungus) is regulated by fungus-specific variation in volatile production. In particular, we expected the non-host fungus to produce specific volatiles that repel fly larvae and thus contribute to signal inedibility. By quantifying innate variation in arrival of individual D. melanogaster larvae at colonies of the mutualist yeast Candida californica or of the antagonistic mould Penicillium expansum, we found the yeast to attract more rapidly a larger number of larvae than the mould did. The developmental stage (young, vegetative vs. old, sporulating) of P. expansum did not affect arrival of larvae at fungal colonies. We used gas chromatography coupled with mass spectrometry (GC-MS) to identify the composition of fungal volatiles. Four compounds appeared to be yeast-specific, twenty to be mould-specific volatiles. Eight volatiles were consistently produced by both young and old P. expansum. Two compounds, 3-methyl-1-butanol and 2-methyl-1-propanol, were released by P. expansum (young and old) as well as C. californica. Time-dependent behavioural response profiles of similar to 750 D. melanogaster larvae revealed innate attraction to three alcohols produced by yeast and/or moulds and to two yeast-specific organic acids. We found no indication of a repellent effect of mould-specific compounds, including terpenoids like geosmin known to elicit strong avoidance behaviour of adult D. melanogaster in response to harmful microbes. Also, synthetic mould and yeast-specific blends of attractive compounds were equally attractive to the larvae. With respect to the species combinations investigated in this study, we hypothesize that qualitative differences in fungal volatile profiles are of minor relevance in how Drosophila larvae locate and probably discriminate between fungi of varying suitability.",2
"X.ISI.000365076600004","Fluorescent proteins function as a prey attractant: experimental evidence from the hydromedusa Olindias formosus and other marine organisms","Haddock, Steven H. D. and Dunn, Casey W.","BIOLOGY OPEN","2046-6390","4","9","1094-1104","2015","10.1242/bio.012138","Although proteins in the green fluorescent protein family (GFPs) have been discovered in a wide array of taxa, their ecological functions in these organisms remain unclear. Many hypothesized roles are related to modifying bioluminescence spectra or modulating the light regime for algal symbionts, but these do not explain the presence of GFPs in animals that are non-luminous and non-symbiotic. Other hypothesized functions are unrelated to the visual signals themselves, including stress responses and antioxidant roles, but these cannot explain the localization of fluorescence in particular structures on the animals. Here we tested the hypothesis that fluorescence might serve to attract prey. In laboratory experiments, the predator was the hydromedusa Olindias formosus (previously known as O. formosa), which has fluorescent and pigmented patches on the tips of its tentacles. The prey, juvenile rockfishes in the genus Sebastes, were significantly more attracted (P<1x10(-5)) to the medusa's tentacles under lighting conditions where fluorescence was excited and tentacle tips were visible above the background. The fish did not respond significantly when treatments did not include fluorescent structures or took place under yellow or white lights, which did not generate fluorescence visible above the ambient light. Furthermore, underwater observations of the behavior of fishes when presented with a brightly illuminated point showed a strong attraction to this visual stimulus. In situ observations also provided evidence for fluorescent lures as supernormal stimuli in several other marine animals, including the siphonophore Rhizophysa eysenhardti. Our results support the idea that fluorescent structures can serve as prey attractants, thus providing a potential function for GFPs and other fluorescent proteins in a diverse range of organisms.",2
"X.ISI.000362433600021","Comparative Genomics of a Plant-Parasitic Nematode Endosymbiont Suggest a Role in Nutritional Symbiosis","Brown, Amanda M. V. and Howe, Dana K. and Wasala, Sulochana K. and Peetz, Amy B. and Zasada, Inga A. and Denver, Dee R.","GENOME BIOLOGY AND EVOLUTION","1759-6653","7","9","2727-2746","2015","10.1093/gbe/evv176","Bacterial mutualists can modulate the biochemical capacity of animals. Highly coevolved nutritional mutualists do this by synthesizing nutrients missing from the host's diet. Genomics tools have advanced the study of these partnerships. Here we examined the endosymbiont Xiphinematobacter (phylum Verrucomicrobia) from the dagger nematode Xiphinema americanum, a migratory ectoparasite of numerous crops that also vectors nepovirus. Previously, this endosymbiont was identified in the gut, ovaries, and eggs, but its role was unknown. We explored the potential role of this symbiont using fluorescence in situ hybridization, genome sequencing, and comparative functional genomics. We report the first genome of an intracellular Verrucomicrobium and the first exclusively intracellular non-Woibachia nematode symbiont. Results revealed that Xiphinematobacter had a small 0.916-Mb genome with only 817 predicted proteins, resembling genomes of other mutualist endosymbionts. Compared with free-living relatives, conserved proteins were shorter on average, and there was large-scale loss of regulatory pathways. Despite massive gene loss, more genes were retained for biosynthesis of amino acids predicted to be essential to the host. Gene ontology enrichment tests showed enrichment for biosynthesis of arginine, histidine, and aromatic amino acids, as well as thiamine and coenzyme A, diverging from the profiles of relatives Akkermansia muciniphilia (in the human colon), Methylacidiphilum infemorum, and the mutualist Wolbachia from filarial nematodes. Together, these features and the location in the gut suggest that Xiphinematobacter functions as a nutritional mutualist, supplementing essential nutrients that are depleted in the nematode diet. This pattern points to evolutionary convergence with endosymbionts found in sap-feeding insects.",2
"X.ISI.000360216400014","Complementarity in both plant and mycorrhizal fungal communities are not necessarily increased by diversity in the other","Wagg, Cameron and Barendregt, Christoph and Jansa, Jan and van der Heijden, Marcel G. A.","JOURNAL OF ECOLOGY","0022-0477","103","5","1233-1244","2015","10.1111/1365-2745.12452","Higher species diversity can improve community performance within a species guild when different species complement each other in their use of the available niche, such as through resource partitioning. However, species in one guild of organisms may act as resources for another such that the diversity in one guild alters the realized niche for species in another. Yet, it remains largely untested as to whether diversity in one guild of organisms influences species complementarity in another. The productivity and diversity in plant and arbuscular mycorrhizal (AM) fungal communities can be positively associated with each other through their typically mutualistic exchange of resources. Here, we utilized these two interacting species guilds to determine whether greater diversity in one influences species complementarity in the other. This was performed by creating monocultures and a mixture of a grass, forb and legume in a full factorial design with monocultures and a mixture of four AM fungi. The presence of AM fungi reduced differences in the performance among plant species and greater diversity of fungi generally improved plant productivity over the average of the fungal monocultures. However, plant species complementarity was not greatest with a higher diversity of fungi and was only positive with a particular fungal monoculture. AM fungal abundance was not affected by plant diversity, but was greatly reduced in the grass monoculture compared to the other plant communities. Variation in fungal complementarity among plant communities was low overall and was little influenced by plant diversity.Synthesis. Using a model plant-mycorrhizal system, our results suggest that the composition rather than the diversity of species within one guild may be more influential in determining how species function within an associated species guild. However, our model system does not represent a broad gradient of diversity in either plant or fungal communities and only assesses the initial growth phase. Nonetheless, our results highlight that changes in species compositions in one species guild can affect the functioning of species diversity in another.",2
"X.ISI.000359616500021","The origins of consistent individual differences in cooperation in wild banded mongooses, Mungos mungo","Sanderson, Jennifer L. and Stott, Iain and Young, Andrew J. and Vitikainen, Emma I. K. and Hodge, Sarah J. and Cant, Michael A.","ANIMAL BEHAVIOUR","0003-3472","107",NA,"193-200","2015","10.1016/j.anbehav.2015.06.022","Individual differences in contributions to cooperation can be strikingly consistent over time giving rise to alternative cooperative phenotypes within animal societies. Following the social niche specialization hypothesis, these consistent differences may be driven by social conflict over reproductive opportunities if individuals specializing as `breeders' and `nonbreeders' experience a beneficial reduction in social conflict and differential costs associated with cooperating. This hypothesis gives three testable predictions: (1) consistent individual differences in cooperative behaviour will be accompanied by consistent individual differences in reproductive behaviour, (2) individuals contributing heavily to reproduction will contribute relatively little to cooperative behaviours within the same breeding attempt and vice versa, and (3) individuals that consistently contribute heavily to reproduction over their lifetime will also consistently contribute less to cooperative behaviours and vice versa. We tested these predictions with a 15-year investigation into the lifetime patterns of mate guarding and two forms of cooperative offspring care ('babysitting' and `escorting') in a wild population of banded mongooses. We found significant repeatability of individual contributions to both cooperative behaviours, as well as significant repeatability of individual levels of mate guarding. However, we found no evidence of negative covariance between contributions to cooperative and reproductive behaviours either within breeding attempts or across lifetimes. This suggests that the observed consistent individual differences in both cooperative behaviour and reproduction are not associated; there is no evidence of a trade-off between reproduction and cooperation. However, we found a significant positive covariance between babysitting and escorting when estimated both within breeding attempts and across lifetimes, which suggests that some group members are generally more cooperative than others, contributing more to both behaviours over their lifetimes. The drivers of this consistent individual variation in contributions to cooperation remain unknown. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd.",2
"X.ISI.000358758700013","Building the microbiome in health and disease: niche construction and social conflict in bacteria","McNally, Luke and Brown, Sam P.","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8436","370","1675",NA,"2015","10.1098/rstb.2014.0298","Microbes collectively shape their environment in remarkable ways via the products of their metabolism. The diverse environmental impacts of macro-organisms have been collated and reviewed under the banner of `niche construction'. Here, we identify and review a series of broad and overlapping classes of bacterial niche construction, ranging from biofilm production to detoxification or release of toxins, enzymes, metabolites and viruses, and review their role in shaping microbiome composition, human health and disease. Some bacterial niche-constructing traits can be seen as extended phenotypes, where individuals actively tailor their environment to their benefit (and potentially to the benefit of others, generating social dilemmas). Other modifications can be viewed as non-adaptive by-products from a producer perspective, yet they may lead to remarkable within-host environmental changes. We illustrate how social evolution and niche construction perspectives offer complementary insights into the dynamics and consequences of these traits across distinct timescales. This review highlights that by understanding the coupled bacterial and biochemical dynamics in human health and disease we can better manage host health.",2
"X.ISI.000362305500020","Population-specific responses to an invasive species","Reichard, Martin and Douda, Karel and Przybylski, Miroslaw and Popa, Oana P. and Karbanova, Eva and Matasova, Klara and Rylkova, Katerina and Polacik, Matej and Blazek, Radim and Smith, Carl","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","0962-8452","282","1812","167-174","2015","10.1098/rspb.2015.1063","Predicting the impacts of non-native species remains a challenge. As populations of a species are genetically and phenotypically variable, the impact of non-native species on local taxa could crucially depend on population-specific traits and adaptations of both native and non-native species. Bitterling fishes are brood parasites of unionid mussels and unionid mussels produce larvae that parasitize fishes. We used common garden experiments to measure three key elements in the bitterling-mussel association among two populations of an invasive mussel (Anodonta woodiana) and four populations of European bitterling (Rhodeus amarus). The impact of the invasive mussel varied between geographically distinct R. amarus lineages and between local populations within lineages. The capacity of parasitic larvae of the invasive mussel to exploit R. amarus was higher in a Danubian than in a Baltic R. amarus lineage and in allopatric than in sympatric R. amarus populations. Maladaptive oviposition by R. amarus into A. woodiana varied among populations, with significant population-specific consequences for R. amarus recruitment. We suggest that variation in coevolutionary states may predispose different populations to divergent responses. Given that coevolutionary relationships are ubiquitous, population-specific attributes of invasive and native populations may play a critical role in the outcome of invasion. We argue for a shift from a species-centred to population-centred perspective of the impacts of invasions.",2
"X.ISI.000359058600001","Policing and punishment across the domains of social evolution","Singh, Manvir and Boomsma, Jacobus J.","OIKOS","0030-1299","124","8","971-982","2015","10.1111/oik.02064","Several decades of research in humans, other vertebrates, and social insects have offered fascinating insights into the dynamics of punishment (and its subset, policing), but authors have only rarely addressed whether there are fundamental joint principles underlying the maintenance of these behaviors. Here we present a punisher/bystander approach rooted in inclusive fitness logic to predict which individuals should take on punishing roles in animal societies. We apply our scheme to societies of eusocial Hymenoptera and nonhuman vertebrate social breeders, and we outline potential extensions for understanding conflict regulation among cells in metazoan bodies and unrelated individuals in human societies. We highlight that: 1) no social unit is expected to express punishment behavior unless it collects positive inclusive fitness benefits that surpass alternative benefits of bystanding; 2) punishment with public good benefits can be maintained through either direct fitness benefits (coercion) or indirect fitness benefits (correction) or both; 3) differences across social systems in the distributions of power, relatedness, and reproductive options drive variation in the extent to which individuals actively punish; and 4) inclusive fitness logic captures many punishment-relevant evolutionary and ecological variables in a single framework that appears to apply across very different types of social arrangements.",2
"X.ISI.000358454500016","Hotspots of damage by antagonists shape the spatial structure of plant-pollinator interactions","Rodriguez-Rodriguez, Maria C. and Jordano, Pedro and Valido, Alfredo","ECOLOGY","0012-9658","96","8","2181-2191","2015","10.1890/14-2467.1","The balance between mutualistic and antagonistic plant-animal interactions and their spatial variation results in a highly dynamic mosaic of reproductive success within plant populations. Yet, the ecological drivers of this small-scale heterogeneity of interaction patterns and their outcomes remain virtually unexplored. We analyzed spatial structure in the frequency and intensity of interactions that vertebrate pollinators (birds and lizards) and invertebrate antagonists (florivores, nectar larcenists, and seed predators) had when interacting with the insular plant Isoplexis canariensis, and their effect on plant fitness. Spatially autocorrelated variation in plant reproductive success (fruit and viable seed set) emerged from the combined action of mutualists and antagonists, rather than reflecting the spatial pattern of any specific animal group. However, the influence of antagonists on plant fitness was stronger primarily due to the florivores' action on earlier reproductive stages, consuming and damaging floral structures before the arrival of pollinators. Our results indicate that the early action of antagonists creates hotspots of increased plant damage, where the effects of later acting mutualists are not translated into increased reproductive benefits. We foresee the potential for antagonists to shape the intra-population mosaics of plant fitness in situations where antagonists outnumber mutualists, when their interactions occur before those of mutualists, and when mutualists can detect and avoid damaged plants while foraging. Severely damaged plants in antagonistic hotspots might be excluded from the mating network and render a limited production of viable seeds, reducing both the growth rate of the plant population and the effective population size.",2
"X.ISI.000358315700007","Developmental plasticity and social specialization in cooperative societies","English, Sinead and Browning, Lucy E. and Raihani, Nichola J.","ANIMAL BEHAVIOUR","0003-3472","106",NA,"37-42","2015","10.1016/j.anbehav.2015.05.006","Cooperative breeding systems showcase the diversity of social trajectories within and among species, ranging from the extremes of eusocial insects where individuals become irreversibly specialized as fecund queens or sterile workers, to vertebrate systems where individuals maintain the flexibility to breed throughout life. Between these extremes lies a continuum with individuals exhibiting varying degrees of specialization in their behaviour. Most research on cooperative breeders, particularly on vertebrate systems, has focused on why helping has evolved, rather than addressing this diversity. Here, we present a framework to explain variation in the timing, extent and flexibility of phenotypic divergence across vertebrate and invertebrate cooperative systems. We base our framework on recent theory about how individuals integrate information about the environment from different sources (genes, parents and direct experiences) when establishing their developmental trajectory. We discuss how the timing and degree of divergence and specialization are influenced by the availability and reliability of information about later fitness options and by the extent to which individuals have control over their development. Throughout, we use this developmental perspective to draw broad comparisons across vertebrate and invertebrate systems, which are often considered separately. (C) 2015 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",2
