Timestamp,"Q1. Abstract ID (MA1, MA2 etc.)",Q2. Screener ID,Q3. Study Type,Q4. Interaction type,Q5. Ecological scale of the interaction,"Q6. Interacting species, scientific name(s)",Q7. What trait influences the quality of the interaction? (e.g. behavioural phenotype),Q8. In which species does the trait vary?,Q9. Is anything know about the genetic basis or heritability of the trait? (focusing on information provided by the paper only),"Q11. In what scale does the interaction shift between mutualistic and antagonistic (e.g. does the trait variation lead to individuals, populations or species varying along this continuum)",Q10. Does the study show a shift in the interaction between mutualism-antagonism?,Q12. What is the direction of shift?,"Q13. What factors are driving that shift? (e.g. ecological, abiotic, social)","Q14. What is the ecological impact of the interaction and shift of that interaction? (i.e. what ecological processes may be effected, focusing on information provided by the paper)",Q15. Is there a connection to the NC3? (e.g. the promotion and maintenance of individual-level traits or niche variation),Q17. Additional notes (include any points of significance that are not included in this questionnaire),"Q16. Do you have any outstanding concerns or questions about the paper (e.g. is there no clear trait that appears to vary, is there no clear shift in the interaction between mutualism and antagonism)",Q18. Do you think this paper can be included within the review (on the basis of our inclusion/exclusion criteria)?,"Q19. If No/Maybe, why?",,,,,,,
12/25/2019 6:31:16,MA9,RR,Experimental,Host-symbiont,Inter-specific (2 species),Anemonia  viridis (sea anemone )and Symbiodinium clade   temperate   A (dinoflagellate),There is no such trait influencing the quality of interaction.  Instead they found a differential gene expression between the symbiotic and aposymbiotic states,The paper only study the variation in gene expression (in Anemonia  viridis ) to decipher the molecular signals that are central for the stability of interaction,,,No.,,gene expression ,"due to the collapse of the symbiotic interaction, the coral reefs are declining- this is the ecological importance of the interaction.",no,,,No,"There is no evidence of trait variation, The study is just trying to understand the molecular signals responsible for the symbiotic and aposymbiotic forms of the sea anemones. The inter-individual variability in gene expression found in the study just indicates that the aposymbiosis could be induced by different pathways.",,,,,,,
12/27/2019 8:49:51,MA264,RR,Experimental,Host-symbiont,Inter-specific (>2 species),Cambarus bartonii (cray fish) and Cambarincola philadelphicus and Cambarincola ingens (  branchiobdellidan annelids ),size or ontogenic stage,host (cray fish),"No, it is about the variation in size at different life stages",the symbiont composition changes with the size difference at different life changes.,the study shows a rapid removal rate of the worms by smaller hosts. ALso there was  gill scarring by the worms on the hosts but dont have a net negative effect.But in general it is stated about the interaction that the worms can turn parasites when there is food limitation.,the dominating symbiotic species changes with host ontogeny due to removal of the symbiont species by host differentially at different life stages.,the shift in symbiont composition was due to ability of the symbionts to avoid removal by host which inturn depends on the size of the specific symbiont species and the specific life stage (size) of the host,no such information obtained from the paper,no,,,No,"The trait varies between species, not within-species",,,,,,,
12/29/2019 23:07:48,MA209,RR,Experimental,Host-symbiont,Inter-specific (>2 species),brook charr (Salvelinus fontinalis) and their skin microbiota (different bacteria)),"No such trait mentioned, it is about the possible regulation of the abundance of specific genera of skin microbiota by the genotype of host (brook charr).",,the paper reports that the genotype of host (brook charr) may regulate the abundance of specific genera of skin microbiota.,There is possible regulation of the abundance of the genera of skin microbiota according to the genotype of host and some of the genera can provide protection for the host from pathogens.,The study reports about a possible genetic basis of mutualism between the host and the commensal skin microbiota ,"depending on host genotype, possible change from commensalism to mutualism",genotype of host,no such information provided,"yes, it mentions about potenial genetic basis of hosts for mutualism between the host and its commensal skin microbiota.",,,Yes,,,,,,,,
12/30/2019 9:27:22,MA22,LKL,"Observational, Experimental",Host-symbiont,Inter-specific (>2 species)," Host (pea aphid, Acyrthosiphon pisum); bacterial symbiont (Hamiltonella defensa);  parasitic wasp (Aphidius ervi)",host resistance (symbiont-/aphid-based) to parasitism by the wasp A. ervi,"Host (pea aphid, Acyrthosiphon pisum)","heritable protective symbiont H. defensa contributes variation in resistance to parasitic wasp, depending on symbiont strain and associated bacteriophage haplotype but still unclear about the relationship between aphid genotype and variation in resistance",Species,No,No shift,"(symbiont-based)symbiont strain, associated bacteriophage haplotype, temperature; (aphid-based)temperature, aphid genotype, host plant"," H. defensa confer their host, pea aphid resistance against the parasitic wasp Aphidius ervi ",Yes,Nil,no clear shift in the interaction,No,There is no shift in the quality of the interaction,,,,,,,
12/30/2019 13:13:28,MA70,RR,Experimental,Host-symbiont,Inter-specific (2 species),potter wasps -Allodynerus delphinalis (Hymenoptera: Vespidae) and mite- Ensliniella parasitica (Astigmata: Winterschmidtiidae),the number of mite symionts ,NA,NA,when number of mites per host larvae exceed the normal level they become parasitic to hosts,Yes,Mutualistic to antagonistic,number of mites per host larvae,NA,"No, there is no mention of variation in individuals that can lead to the shift to parasitism. The study predicts a possible reversion or change from the mutualism to antogonism (parasitism) upon an increase in the number of mites per host.",NA,NA,No,There is no evidence of trait variation,,,,,,,
1/1/2020 3:00:28,MA73,LKL,Review,Host-symbiont,Inter-specific (>2 species),"wood- wasps (Siricidae), their fungal symbionts (Amylostereum), and parasitic Deladenus nematodes",dimorphic nematode can be mycophagous (feeding on fungal symbionts within tree where the host inhabit) or parasitic (bore into host at larval stage and the females are used as vectors),Deladenus nematodes (the parasite),"Probably, judging by the references ","Individuals, Populations",This review referred to two other studies suggesting that symbiont infection could be costly for the host when the parasitoids are absent. ,"Mutualistic to antagonistic, Antagonistic to mutualistic, antagonistic (parasitism) <-> commensalism (parasite feeding on the symbiont and use the host as vector)",species or strain of their fungal symbiont; condition of dwelling tree (extra evidence: mycophagous nematodes turn into parasitic form under high CO2 and low pH in vitro),Nutrient cycles/energy flow/succession(?): Wood degradation process (habitats of other animals within the tree; fungal diversity ,Yes,NA,NA,Yes,,,,,,,,
1/1/2020 5:18:34,MA10,RR,Experimental,"Host-symbiont, Consumer-resource/predator-prey",Inter-specific (>2 species),Cecidomyiid gall midge (Asteromyia carbonifera ) and its fungal symbiont- Botryosphaeria dothidea and different parasitoid wasps,fungal gall morphology (extended phenotype) induced by the midges causes differential attacks by their dfferent predator parasitoid wasps,the symbiont fungus Botryosphaeria dothidea,The paper tells about the genotype of the midges and may be also the genotype of host plants affecting the phenotypes of the fungal gall ,,"Not really, But it shows that the variation in the fungal gall phenotypes in the symbiosis affect the predation of the midge larvae by different parasitoid wasps",,NA,ecological impact of the interaction is mentioned - this paper illustrates the potential importance of consumer-resource and symbiotic species interaction in adaptive radiation,There is maintenance of individual -level traits as shown by the different gall morphologies in the symbiosis,,But there is no clear shift in the interactions mentioned in the paper. The paper is all about potential importance of the consumer-resource and symbiotic species interaction in adaptive radiation.,Maybe,There is no shift in the quality of the interaction,,,,,,,
1/1/2020 23:55:57,MA326,LKL,Observational,Host-symbiont,"Inter-specific (>2 species), Intra-specific (within population), Intra-specific (between populations)","Host, beach hopper amphipod Talorchestia quoyana ; symbionts/parasites including  species of mermithid nematode that resembles Thaumamermis cosgrovei, unidentified rhabditid nematode and phoretic deutonymph stage of the mite Dendrolaelaps sp.",NA,NA,NA,no shift indicated,No,NA,NA,No shift,No,Nil,Nil,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction",,,,,,,
1/2/2020 0:34:38,MA303,LKL,"Observational, Experimental","Host-symbiont, Competition-cooperation",Inter-specific (>2 species),"lucanid beetles (Dorcus rectus and Dorcus striatipennis) and symbiotic mites (Haitlingeria sp. and Sandrophela sp., respectively)",,"Nil, this study focuses on the geographic variation",NA,,No,,,,Yes,Nil,Nil,No,"There is no shift in the quality of the interaction, The trait varies between species, not within-species",,,,,,,
1/2/2020 7:30:46,MA202,RR,"Experimental, network approach",plant-animal,Inter-specific (>2 species), Didelphis albiventris and the different plant species they feed on (29 species),fruit consumption behaviour, Didelphis albiventris,no,,no,,NA,ecological impact of the interaction- seed dispersal,there exists a variation within the population in the fruit consumption behaviour of didelphids,No,No shift in interaction between mutualism and antagonism,Maybe,the paper talks about the variation in fruit consumption behaviour of opossums and also suggests that there could be possible effects of this variations on the individual plant performance and plant community composition. But it doesnot mention about any shift of interaction between mutualism and antagomism.,,,,,,,
1/2/2020 22:18:28,MA84,MW,Review,"Male-female, Competition-cooperation",Intra-specific (within population),Homo sapiens,discusses various traits related to social learning,humans,NA,,no,,NA,NA,NA,NA,NA,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction, Humans as a study subject (note: this is currently being treated as an exclusion criteria)",,,,,,,
1/2/2020 23:21:02,MA403,MW,"Modelling/theory, Review",Competition-cooperation,Intra-specific (within population),NA,"aspects of personality (e.g. trustworthyness, or more specifically number of rounds before defection in an iterated prisoner's dilemma), but also other needs and abilities of individuals",NA,NA,Populations,yes,can be both depending on the direction of parameter change,e.g. mutation rate,NA,"Interesting thought that ""variation in one trait maintains the variation in the other, and vice versa""","Relevant insights: 1) If there is a lot of variation (e.g. due to mutation) in the number of rounds before defection in the iterated prisoner's dilemma, it can make sense for individuals to cooperate for longer than the population average and cooperativeness increases in the population. 2) Variation in partner quality can promote the evolution of choosiness, which penalizes less cooperative individuals and thus promotes cooperation. 3) In fighting situations, costly displays can be seen as cooperative because they help resolve the fight and reduce its costs. Such displays can only evolve if there is sufficient variation in strength among individuals.",NA,Yes,,,,,,,,
1/2/2020 23:29:09,MA63,MW,"Modelling/theory, Review",Competition-cooperation,Intra-specific (within population),NA,generosity,NA,NA,Populations,yes,depends,e.g. the extent to which partner choice is possible,NA,NA,"Key sentence: ""introducing individual differences in
generosity combined with partner choice can lead to
competition for partners and thereby to an escalation in
generosity which is rewarded by greater benefits for those
which choose to or can invest more""",NA,Yes,,,,,,,,
1/3/2020 0:04:06,MA372,MW,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,investment in an interaction (and/or perception of the investment of the other individual),NA,"Here it is assumed that variation is due to noise, i.e. individuals making errors. The variation is non-heritable.",Populations,Not so clear that there is a shift in response to variation or here the distribution of the errors individuals make.,depends,curvature of cost and benefit functions,NA,,They write that variation due to errors is in many ways qualitatively analogous to variation in individual quality.,"""Under most conditions the magnitude of error has no influence on the evolutionary outcome"". More specifially, they show that the singular solution does not depend on the magnitude of error, but the convergence stability might. In any case, this is not an example of a very clear shift caused by variation.",Maybe,There is no shift in the quality of the interaction,,,,,,,
1/3/2020 0:26:01,MA373,MW,Modelling/theory,Competition-cooperation,Intra-specific (within population),NA,"strength, i.e. fighting ability",NA,assumed non-heritable,Populations,"There should be a shift with changing magnitude of variation in strength, although they don't explore this explicitly (see comment below).",depends,"value of the resource that the fight is about, group size",NA,NA,"Over a range of parameter values, there are alternative stable states (turn-taking and contest competition). Shifts here could also be caused by stochastic processes and initial conditions.","Individual strength is drawn from a uniform distribution between 0 and 1. They do not explore different levels of variation. Therefore we can only indirectly infer the consequences of variation. Since they find that ""a decreasing ability to identify the stronger individual favours the evolutionary stability of the turn-taking strategy"", increasing variation in strength should hinder the evolution of turn-taking.",Yes,,,,,,,,
1/4/2020 5:21:21,MA290,LKL,Experimental,Host-symbiont,Inter-specific (2 species),"invasive mussel (Anodonta woodiana), European bitterling (Rhodeus amarus)",behavioural phenotype,R. amarus (ejecting their parasitic larvae; behavioural avoidance/preference to oviposit in A. woodiana and A. anatina); A. woodiana (the capacity to metamorphose on R. amarus),No,Populations,No ,Not clearly shown by this study but a large body of research has demonstrated the shifts,"invasion of a competitor (native species), rate/degree of adaptations",community structure and interspecific associations,Yes,NA,NA,Maybe,There is no shift in the quality of the interaction,,,,,,,
1/6/2020 5:07:51,MA268,LKL,Experimental,"Host-symbiont, Consumer-resource/predator-prey",,"Trinidadian guppy (Poecilia reticulata), ectoparasite (Gyrodactylus spp.), predators not specified","Instead the study focuses at the differences of guppies' behavioural traits such as activity, sociability (shoaling tendency) and boldness in selection regimes with various predation and parasitism intensities",Trinidadian guppy (Poecilia reticulata),Yes,NA,No,No shift,NA,NA,maintenance of individual-level traits,NA,No shift,Maybe,There is no shift in the quality of the interaction,,,,,,,
1/6/2020 8:22:53,MA344,NC,Observational,Competition-cooperation,"Inter-specific (2 species), Intra-specific (within population)","Tursiops truncatus, Homo sapiens",cooperativeness,Tursiops truncatus,No,,No,,,Cooperativeness decreases necessary foraging area and sometimes increases site conservatism.,"Yes, promotion of individual-level traits ",,No within-individual shift,Yes,,,,,,,,
1/6/2020 8:54:50,MA409,NC,Experimental,"Host-symbiont, Competition-cooperation",Inter-specific (2 species),"Chamaecrista fasciculata & competitors, rhizobia",Resource availability ,Chamaecrista fasciculata,No,,No,,,"Mutualism leads to reduced community diversity, most strongly under resource limitation",No,Mostly effect on community diversity,No clear shift,No,There is no shift in the quality of the interaction,,,,,,,
1/6/2020 9:07:50,MA351,NC,Experimental,Consumer-resource/predator-prey,Inter-specific (2 species),"Macrocheles subbadius, Drosophila nigrospiracula","Starvation, mating status of mite, previous infection and injury of host",both,No,Individuals,"Yes, from free-living to antagonism/parasitism",Mutualistic to antagonistic,"Ecological, resource-availability",Increase of parasitism,Yes,,Shift is from neutral to antagonism and is resource-availability/demand -driven,Yes,,,,,,,,
1/6/2020 9:25:31,MA389,NC,Review,Host-symbiont,,,,,,,,,,,Not for quantitative analyses,"As a review on parasitism - many important points, none quantifiable",,Maybe,"The trait varies between species, not within-species, not quantitative",,,,,,,
1/6/2020 9:39:21,MA222,LKL,Experimental,"Host-symbiont, Competition-cooperation","""Unfortunately, this study did not have the power to determine to what degree this intraspecific variation was partitioned within versus among populations, or what underlying cause of the variation (genetic, maternal effects, etc.).""","Invader (Alliaria petiolata); native tree species (Platanus occidentalis, Quercus rubra, and Juglans nigra); symbionts such as arbuscular mycorrhizal fungi (AMF), ectomycorrhizal fungi (EMF) and bacteria community","Individual: Leaf and root glucosinolate and alliarinoside concentrations, leaf iso-6- O-b-vitexin concentration, and above-ground biomass;  Population: age",Invader (Alliaria petiolata),"Potentially, ""considerable variation in published studies addressing the allelopathic/anti-mycorrhizal prop- erties of A. petiolata, with studies finding no (McCarthy and Hanson 1998), relatively mild (Burke 2008), or strong effects (Stinson et al. 2006). Some of this variation may derive from methodological differences, but some of this variation may be the result of true biological variation among the A. petiolata populations or the native plants and soil communities studied.""",Species,"Not directly, ""microbial species that best promote native seedling growth also tended to be the most sensitive to allelochemicalssuggesting that A. petiolata affects native plants both by reducing mutualist abundance (Stinson et al. 2006; Wolfe et al. 2008) and by shifting soil communities toward a less mutualistic distribution.""",Mutualistic to antagonistic," ecological/biotic, abiotic factors ",population persistence and local species coexistence; spread and impact of invasive species,Yes,,no clear shift,Maybe,There is no shift in the quality of the interaction,,,,,,,
1/6/2020 9:52:37,MA411,NC,"Observational, Experimental",Host-symbiont,"Inter-specific (>2 species), Intra-specific (between populations)","Asobara wasps, Wolbachia",Species and strain genotypes,Asobara wasps,Between-population differences,"Populations, Species",Continuum of emancipation from symbionts,Obligate symbiosis to no symbiosis,phylogeny (co-evolution?),Potential development of resistance of antibiotics,Yes,,"Only yes/no, not variation within populations. The variation shown has no fitness effects. Fitness is always symbiont-dependent.",Yes,,,,,,,,
1/6/2020 10:11:33,MA162,NC,Experimental,"Competition-cooperation, Consumer-resource/predator-prey","Inter-specific (2 species), Intra-specific (within population)","Ips pini, Thanasimus dubius",predation reduces the effciciency of cheating ,Ips pini,No,Individuals,No,Antagonistic to mutualistic,Predation,Propensity to colonize instead of follow and use provided resources,Yes,,Measures are based on survival - no behaviour/inheritance implied,Maybe,There is no evidence of trait variation,,,,,,,
1/6/2020 11:43:21,MA282,RR,Experimental,Host-symbiont,Inter-specific (>2 species),Ficus hirta (plant) and associated parasitic fig wasps (Philotrypesis josephi and Sycoscapter hirticola), inflorescence receptacle size (fig wall thickness) in  Ficus hirta varies and the parasitoid wasps also respond to this in terms of the variation in their ovipositor length,Ficus hirta (plant). also changes in parasitoid wasps found as a response to changes in plants,"it could be heritable because it is mentioned in the paper that generally, such variation in plant traits is either a direct plastic phenotypic response to local conditions or the product of local adaptation.",,no,,,ecological impact of interaction : diversification of parasitic wasps on the host plants and resulting geographic variation in community composition,there is geographical  varaition existing in both host plants and the parasitic wasps ,NA,No,No,"There is no shift in the quality of the interaction, the paper is about how geographic variation in host plants results in diversification of parasitic  wasps ",,,,,,,
1/7/2020 0:26:11,MA101,RR,Experimental,Host-symbiont,Inter-specific (>2 species),"Epilobium angustifolium (fireweed-host plant), Aphis varians(aphids) and Formica cinerea (ant)",quality of host plants measured in terms of plant height,the fireweed host plants,nothing mentioned specifically in the paper,,no,,NA,NA,NA,NA,NA,No,There is no shift in the quality of the interaction,,,,,,,
1/7/2020 4:01:47,MA280,LKL,Experimental,Host-symbiont,Inter-specific (>2 species),"Solanum spp.(S. berthaultii, S. polyadenum, S. tuberosum STN and S. tuberosum Chilean); potato aphid, Macrosiphum euphorbiae; aphid facultative endosymbiont, Hamiltonella defensa","They determined the influence of plant type, herbivore holobiont and root AM fungal infection on changes in root allocation and parasitism success.",NA,Not mentioned,"Populations, Species",No,NA,NA,NA,NA,NA,NA,No,"There is no shift in the quality of the interaction, The trait varies between species, not within-species",,,,,,,
1/7/2020 5:25:50,MA25,NC,Experimental,physiological mechanisms behind cooperative tasks,Intra-specific (within population),,arginine vasotocin suppression,Labroides dimidiatus,no,,no,,variation in arginine vasotocin suppression,unclear,no,,the natural variation of the trait is not clear,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction",,,,,,,
1/7/2020 5:46:16,MA160,NC,Observational,"Host-symbiont, Consumer-resource/predator-prey",Inter-specific (>2 species),"Isoplexis canariensis, mutualists and antagonists",centrality in the mating network allows more mutualist ,Isoplexis canariensis,no,Individuals,yes,Mutualistic to antagonistic,distance to conspecifics,higher reproductive success via higher levels of mutualism for more central plants,yes,spatial rather than phenotypic/genetic determination of the shift,,Yes,,,,,,,,
1/7/2020 22:39:37,MA367,NC,Observational,Host-symbiont,Inter-specific (>2 species),"Amphisorus hemprichii, Symbiodinium spp.",spatial distribution of lineages within host,Symbiodinium lineages,no,,no,,,unknown,yes,,"spatial description of niches, unclear determinants",Maybe,"There is no evidence of trait variation, There is no shift in the quality of the interaction",,,,,,,
1/8/2020 6:56:31,MA379,NC,"Observational, Experimental",Host-symbiont,Intra-specific (within population),"Upupa epops, uropygial gland symbionts ",captivity,Upupa epops,no,NA,no,NA,NA,NA,Yes,NA,NA,No,"There is no shift in the quality of the interaction, No evidence for trait variation in the wild",,,,,,,
1/8/2020 7:15:20,MA199,NC,"Modelling/theory, Review",Consumer-resource/predator-prey,"Inter-specific (>2 species), Intra-specific (within population)",NA,"Size of prey, size-preference of predators, variation in local prey communities",all,no,"Individuals, Populations","No, but possibly relevant","Mutualistic to antagonistic, Antagonistic to mutualistic","Size of prey, size-preference of predators","potentially prey choice and composition, shift from predation to mutualism",Yes,,"very general, no data",Maybe,"Not quantitatively usable, important from a conceptual point of view",,,,,,,
1/8/2020 7:33:29,MA175,NC,Experimental,Consumer-resource/predator-prey,Inter-specific (>2 species),"Aphis craccivora, Harmonia axyridis, Coccinella septempunctata",prey toxicity,Aphis craccivora,clone-specific,Species,between antagonism and apparent mutualism,Antagonistic to mutualistic,Toxicity to one dominant of many predator species,Predator community stability through niche differentiation,yes,,the shift if from +/- to -/-,Yes,,,,,,,,
1/8/2020 8:07:24,MA159,NC,"Observational, Experimental",Host-symbiont,"Inter-specific (>2 species), Intra-specific (within population)","Caryocar brasiliense, 47 species of mutualistic ants, herbivore termites",Plant individual-specific species richness and abundance of ants (network nestedness),Caryocar brasiliense,No,"Individuals, communities of mutualist species",between mutualism and less mutualism,Mutualistic to antagonistic,NA,Better protection from termites through higher nestness (more diverse and abundant ant communities),Yes,,Underlying reason for individuality unknown. Actual selection pressure on trait unknown. ,Yes,,,,,,,,
1/8/2020 9:57:01,MA245,PT,Modelling/theory,Competition-cooperation,Intra-specific (within population),N/A,Variability influences cooperation level (which is an evolving genetic trait),N/A,"Not really, it's all theory (though mentions speices occasionally to keep readers interested).","Individuals, Populations","Yes.  Though it's sort of interesting as the mutualism (or cooperation) level is set genetically for an individual and responds to surroundings, but will also evolve over time (which is a different type of 'shift' in the interaction over time).",Depends on what's happening with variability,Social (level of variability feeds back to influence success of a type),"The variability in the population (e.g., variation in growth rates) and the level of cooperation within it.","Yes, relates to niches.",,"No, I think it's ok to include in the review.",Yes,,,,,,,,
1/8/2020 23:46:26,MA163,LKL,"Observational, Experimental",Host-symbiont,Inter-specific (>2 species),"mountain pine beetle (MPB, Dendroctonus ponderosae Hopkins), Ophiostoma montium, Grosmannia clavigera and Leptographium longiclavatum",growth rate at different temperatures/thermal tolerance,"O. montium, G. clavigera, L. longiclavatum","Yes, variation in growth rates at different temperatures was highly heritable",,No,,NA,NA,Yes,NA,No clear shift,Maybe,There is no shift in the quality of the interaction,,,,,,,
1/9/2020 0:36:29,MA208,RR,Experimental,Competition-cooperation,Inter-specific (2 species),"Spinibarbus sinensis, qingbo - prey and Channa argus, snakehead fish- predator",NA,NA,NA,,NA,,NA,NA,NA,Na,the paper is trying to see if there is a difference in inspection behaviour or cooperation among individuals in conditions of prior predator exposure and food deprivation. the paper only says that the result of no significant difference in their behaviour could be due to inter individual differences in anti-predation strategies. There is not even direct interaction between predator and prey because the predators are caged in the experiments.,No,"There is no shift in the quality of the interaction, there is only mention of a possible inter-individual differences in anti-predation strategies as a reason for the results that came out from the experiment (result: no significant differences in inspection behaviour or cooperation in conditions of food starvation and prior predator exposure). there is also no direct interaction between predator and prey in the experiment.",,,,,,,
1/9/2020 3:17:51,MA337,PT,Review,Competition-cooperation,Intra-specific (within population),n/a,Group size and network structure,n/a,No,Individuals,Somewhat.,Depends which way the numbers are shifting,Group size & network structure,Whether the group is cooperative,"Yes, though it's not a very strong one.","The paper is not a particularly useful one.  It basically says, ""Hey, social network theory might be useful for looking at various things in behavioural ecology; (e.g., cooperation, mate-choice, predator-prey interactions, etc).  So our paper shouldn't make much use of this, but could briefly refer to what's on p980 of it.","It's really just a quick pointer to other studies, rather than particularly useful in and of itself.",Yes,,,,,,,,
1/9/2020 5:24:20,MA338,PT,Modelling/theory,Competition-cooperation,"Intra-specific (within population), Intra-specific (between populations)",n/a,behavioural phenotype,n/a,No,"Individuals, Populations","Yes, though it's more about the emergence of mutualism than antogonism.",Model; simply depends on values.,Social discrimination (which in turn depends on variability in the population),"Emergence of social grouping (into 'tribes', as the authors put it).",Yes.,,I'd not particularly say it was about antagnism -- but a useful model nonetheless.,Yes,,,,,,,,
1/9/2020 10:52:06,MA360,PT,Synthesis (supposedly!),Competition-cooperation,"Inter-specific (2 species), Intra-specific (within population), Intra-specific (between populations)",n/a,"Level of cooperation, which in turn depends on various things like relatedness, resource-generating efficiency, competition, rates of evolution of asymmetric strategies, and outside options.",All.,No,"Individuals, Populations, Species",It focuses on the cooperation side.,"As usual, both -- depends on the circumstances.",Unspecified.,"Mainly just whether they cooperate or not (though left to the reader's imagination what that means if they're more efficient at foraging, etc.","Yes, but it doesn't really get into niches.",,Mainly jsut about cooperation -- not antagonism.,Yes,,,,,,,,
1/10/2020 3:20:06,MA376,PT,Modelling/theory,Competition-cooperation,Intra-specific (within population),n/a,Foraging efficiency (p),All individuals,"No (and, somewhat weirdly, foraging efficiency seems to be assigned randomly!)",Individuals,Yes (though that depends on regarding the hawk-dove game as being between antagonists and mutualists).,"It's a model, so just depends on the values","Resource availability (and variability), level of competition. ",Just whether they compete for a found resource or not.,Not a strong one; it's tenuous at best.,,"It's not clear to me that the trait (p) values really play a crucial role; they could vary betwene 0.49 and 0.51 and still get almost the same results, so far as I understand it; so arguably much more driven by external factors than the variability of traits.. (Also, I need to understand how p gets set -- seems random but the authors mention age & experience, which I don't understand yet.)",Yes,,,,,,,,
1/10/2020 3:52:49,MA130,LKL,Review,"Host-symbiont, Competition-cooperation","Inter-specific (>2 species), Intra-specific (within population), Intra-specific (between populations)",Bark beetles (Coleoptera: Curculionidae: Scolytinae); unspecified tree hosts; competitors such as other tree-boring insects; unspecified microbial symbionts,"(tree host)defensive resin and allelochemical contents can reduce competitor of other species; (bark beetle) detoxification ability (to resist host defences), allomonal interference(deter other species/individuals to reduce inter-/intra-specific competitiveness), host choice and colonisation/gallery construction behaviours (transform tree defensive terpenoids into pheromones)",,Not clearly stated but a paper (Wallin 2002-Heritability of host acceptance and gallery construction behaviors of the bark beetle Ips pini (Coleoptera: Scolytidae)) seems relevant.,,Not clear,,NA,NA,"Yes, e.g. niche partitioning, coexistence",,no clear shift,Maybe,There is no shift in the quality of the interaction,,,,,,,
1/11/2020 1:33:00,MA48,NL,"Observational, Observers provoked antagonistic interactions between individuals",Competition-cooperation,Intra-specific (within population),"Barbary macaques, Macaca sylvanus","Age, Behavioural phenotype",Barbary macaque,no,NA,no,NA,NA,NA,no,,no clear shift in the interaction between mutualism and antagonism,No,No relevant interaction,,,,,,,
1/12/2020 0:56:04,MA281,LKL,Review,Host-symbiont,"Inter-specific (2 species), Inter-specific (>2 species)","Plant, microbes",only ,,,Species,"No, they only mentioned environmental factors can cause interactions to shift from antagonistic to mutualistic but didn't provide revenant examples. Should refer to the original paper cited (Partita-Martinez and Heil 2011- The microbe-free plant: fact or artifact?)",,No concrete samples but abiotic/ecological factors were suggested,NA,Not the review but the original papers mentioned,NA,no clear trait variations in this context of interaction shift and no clear shift in interaction,No,"There is no evidence of trait variation, There is no shift in the quality of the interaction",,,,,,,
1/12/2020 3:25:59,MA399,PT,Modelling/theory,Contibution to a goup pool,Intra-specific (within population),n/a (though the model is aimed at humans).,Rich/poor,The focal one of the model (aimed at humans),No,Individuals,Just about how much individuals will contribute to the pool (arguably a kind of cooperation),Depends whether you make the rich more poor or vice versa.,"Level of risk (i.e., how uncertain the payoff is, given a level of total contributions), uncertainty (which increases with number of players)",Just how much they contribute,Not much.,,No real antagonism -- the closest to that is to not contribute anything.,Maybe,Model is pitched at humans.,,,,,,,
1/13/2020 5:05:35,MA81,NL,Observational,Competition-cooperation,Intra-specific (within population),"Meerkats, Suricata suricatta",behavioural phenotype,"Meerkats, Suricata suricatta",no,NA,no,NA,NA,NA,yes,,no antagonistic interaction (behaving less cooperatively does not mean antagonistic),No,no relevant interaction,,,,,,,
1/16/2020 22:05:01,MA118,NM,Modelling/theory,"Host-symbiont, Consumer-resource/predator-prey, Plant-animal (pollinator-seed parasite)",Inter-specific (2 species),"NA (based on a flowering plants and an obligate pollinator/seed predator,  specifically fig wasps and fig trees or yucca moths and yucca plants)","In the animal: density, the amount of eggs it had to lay, if it was a seed parasite (so potentially traits that may vary within species); in the plant: whether pollinators needed to search for the flowers on the plant or not (different structured plants).",Potentially both plant and animal traits could vary,NA,"Species, In terms of interspecific interactions shifting",Yes ,"Mutualistic to antagonistic, Antagonistic to mutualistic","Primarily the density shifts the interaction, but the potential traits (e.g. number of eggs in the animal, plant structure relating to the need to search for flowers) changes the type of the function response",The type of functional response between the pollinator/seed-parasite and plant,Relevant to the implications of individual variation (i.e. Individual variation changes the type of functional response in an interspecific interaction),Individual based model (IBM),"The model was run based on a mutualism, but the authors state that this is analagous with seed-parasitism in pollinators so I have included it based on that increasing the rate of seed parasitism as a shift between a mutualistic pollinator and anatagostic parasite",Yes,,,,,,,,
1/17/2020 0:25:23,MA124,NM,Modelling/theory,"Competition-cooperation, Social interactions between conspecifics",Intra-specific (within population),NA (based on human cultural traits),"Cultural traits (they cite such as personal ornaments, languages, rituals, etc. but within the model it is not specified)",NA (but intended to be human),"Not necessarily inherited traits (although the model is about that), can be transmitted vertically and horizontally with conspecifics",Individuals,"Yes, possession of an arbitrary trait leads to cooperation, not having the trait leads to competition","Mutualistic to antagonistic, Antagonistic to mutualistic",Cultural differences,Resource allocation and segregation within socially interacting networks,Maintenance and evolution of novel individual behavioural traits,Gene-culture co-evolutionary model,"Issue is that it is based on human traits, but the principles should apply generally to species capable of displaying cultural traits.",Maybe,Humans as a study subject (note: this is currently being treated as an exclusion criteria),,,,,,,
