"","abstract.id","title.x","abstract.x","screener.id.x","decision.x","scale.x","topic.x","notes.x","title.y","abstract.y","screener.id.y","decision.y","scale.y","topic.y","notes.y"
"191","MA270","Parasitism, personality and cognition in fish","It is well established that parasites can have profound effects on the behaviour of host organisms, and that individual differences in behaviour can influence susceptibility to parasite infections. Recently, two major themes of research have developed. First, there has been a growing interest in the proximate, mechanistic processes underpinning parasite-associated behaviour change, and the interactive roles of the neuro-, immune, and other physiological systems in determining relationships between behaviour and infection susceptibility. Secondly, as the study of behaviour has shifted away from one-off measurements of single behaviours and towards a behavioural syndromes/personality framework, research is starting to focus on the consequences of parasite infection for temporal and contextual consistency of behaviour, and on the implications of different personality types for infection susceptibility. In addition, there is increasing interest in the potential for relationships between cognition and personality to also have implications for host-parasite interactions. As models well-suited to both the laboratory study of behaviour and experimental parasitology, teleost fish have been used as hosts in many of these studies. In this review we provide a broad overview of the range of mechanisms that potentially generate links between fish behaviour, personality, and parasitism, and illustrate these using examples drawn from the recent literature. In addition, we examine the potential interactions between cognition, personality and parasitism, and identify questions that may be usefully investigated with fish models.  2016 Elsevier B.V.","CF","include","interspecific","host-parasite, review","","Parasitism, personality and cognition in fish","It is well established that parasites can have profound effects on the behaviour of host organisms, and that individual differences in behaviour can influence susceptibility to parasite infections. Recently, two major themes of research have developed. First, there has been a growing interest in the proximate, mechanistic processes underpinning parasite-associated behaviour change, and the interactive roles of the neuro-, immune, and other physiological systems in determining relationships between behaviour and infection susceptibility. Secondly, as the study of behaviour has shifted away from one-off measurements of single behaviours and towards a behavioural syndromes/personality framework, research is starting to focus on the consequences of parasite infection for temporal and contextual consistency of behaviour, and on the implications of different personality types for infection susceptibility. In addition, there is increasing interest in the potential for relationships between cognition and personality to also have implications for host-parasite interactions. As models well-suited to both the laboratory study of behaviour and experimental parasitology, teleost fish have been used as hosts in many of these studies. In this review we provide a broad overview of the range of mechanisms that potentially generate links between fish behaviour, personality, and parasitism, and illustrate these using examples drawn from the recent literature. In addition, we examine the potential interactions between cognition, personality and parasitism, and identify questions that may be usefully investigated with fish models.  2016 Elsevier B.V.","NM","include","interspecific","theoretical/modelling; parasite-host",""
"192","MA271","Parental care: Adjustments to conflict and cooperation","In many species parental care is needed to rear offspring that survive to reproduce, a good measure of benefits in fitness terms. Such care may involve major costs to the individual. Balancing benefits and costs of care almost inevitably leads to tensions among individuals that provide and use the resource 'parental care'. Thus parental care and with it parental investment (i.e. the ultimate costs of care) is enacted in a game of conflict and cooperation. Using mostly examples from mammals, I discuss Tinbergen's four questions as they apply to parental care. Phylogenetic analyses of parental care are complicated by substantial intraspecific variability of this trait. Understanding the physiological and ontogenetic processes underlying parental care behaviour helps to understand how differences in the cost of care depend on the state of parents and their environment. A deeper insight into the strategies of conflict and cooperation in care can be derived from consideration of the behavioural mechanisms available to participants. 2010 Springer-Verlag Berlin Heidelberg. All rights reserved.","CF","include","intraspecific","parental care, review","","Parental care: Adjustments to conflict and cooperation","In many species parental care is needed to rear offspring that survive to reproduce, a good measure of benefits in fitness terms. Such care may involve major costs to the individual. Balancing benefits and costs of care almost inevitably leads to tensions among individuals that provide and use the resource 'parental care'. Thus parental care and with it parental investment (i.e. the ultimate costs of care) is enacted in a game of conflict and cooperation. Using mostly examples from mammals, I discuss Tinbergen's four questions as they apply to parental care. Phylogenetic analyses of parental care are complicated by substantial intraspecific variability of this trait. Understanding the physiological and ontogenetic processes underlying parental care behaviour helps to understand how differences in the cost of care depend on the state of parents and their environment. A deeper insight into the strategies of conflict and cooperation in care can be derived from consideration of the behavioural mechanisms available to participants. 2010 Springer-Verlag Berlin Heidelberg. All rights reserved.","NM","include","intraspecific","competition-cooperation; parent-offspring",""
"195","MA274","Patterns of participation and free riding in territorial conflicts among ringtailed lemurs (Lemur catta)","Cooperation in animal social groups may be limited by the threat of ""free riding,"" the potential for individuals to reap the benefits of other individuals' actions without paying their share of the costs. Here we investigate the factors that influence individual contributions to group-level benefits by studying individual participation in territorial defense among female ringtailed lemurs (Lemur catta). To control for potentially confounding factors, particularly group size, we studied two semi-free-ranging groups at the Duke University Primate Center. First, we used a combination of experimental and observational methods to investigate the costs and benefits of territorial defense for individual lemurs. We found three indications of costs: physical contact occurred during inter-group encounters, participation in territorial defense was negatively correlated with ambient temperature, and rates of self-directed behaviors increased during encounters. Benefits were more difficult to quantify, but observational and experimental tests suggested that individuals shared the gains of territorial defense by foraging in defended territories. Thus, during experiments in which one of the groups was prevented from defending its territory, the free-ranging group made more frequent incursions into the other group's territory. Second, we examined variation in participation in territorial defense. Individuals varied significantly in their rates of aggression and genital marking during inter-group encounters. The extensive variation documented among individuals was partially accounted for by dominance rank, kinship and patterns of parental care. However, we found no evidence to suggest that participation was enforced through punishment (policing) or exchange of benefits involving grooming. In conclusion, this study provides further insights into cooperative behavior in mammalian social groups by revealing how the costs and benefits of territoriality influence patterns of individual participation in the context of shared (collective) goods.  Springer-Verlag 2004.","CM","include","intraspecific","cooperation",NA,"Patterns of participation and free riding in territorial conflicts among ringtailed lemurs (Lemur catta)","Cooperation in animal social groups may be limited by the threat of ""free riding,"" the potential for individuals to reap the benefits of other individuals' actions without paying their share of the costs. Here we investigate the factors that influence individual contributions to group-level benefits by studying individual participation in territorial defense among female ringtailed lemurs (Lemur catta). To control for potentially confounding factors, particularly group size, we studied two semi-free-ranging groups at the Duke University Primate Center. First, we used a combination of experimental and observational methods to investigate the costs and benefits of territorial defense for individual lemurs. We found three indications of costs: physical contact occurred during inter-group encounters, participation in territorial defense was negatively correlated with ambient temperature, and rates of self-directed behaviors increased during encounters. Benefits were more difficult to quantify, but observational and experimental tests suggested that individuals shared the gains of territorial defense by foraging in defended territories. Thus, during experiments in which one of the groups was prevented from defending its territory, the free-ranging group made more frequent incursions into the other group's territory. Second, we examined variation in participation in territorial defense. Individuals varied significantly in their rates of aggression and genital marking during inter-group encounters. The extensive variation documented among individuals was partially accounted for by dominance rank, kinship and patterns of parental care. However, we found no evidence to suggest that participation was enforced through punishment (policing) or exchange of benefits involving grooming. In conclusion, this study provides further insights into cooperative behavior in mammalian social groups by revealing how the costs and benefits of territoriality influence patterns of individual participation in the context of shared (collective) goods.  Springer-Verlag 2004.","PT","include","intraspecific","Territory defence",""
"206","MA284","Plant-animal mutualism in biological markets: Evolutionary and ecological dynamics driven by non-heritable phenotypic variance","Mutualism between plants and animals, such as in pollination and seed dispersal, is a fundamental mechanism facilitating the productivity and biodiversity of ecosystems, and it is often considered as an analog of a free-market economy. The coevolution of plant reward and animal choosiness, however, involves an apparent paradox due to incomplete information and limited mutation rates: plant rewards evolve only when animals are choosy, but choosy animals purge the heritable variations of plants, which then favors less choosy animals. Here we use a two-species mathematical model to illustrate how non-heritable phenotypic variances of plants may facilitate the coevolution of rewards and choosiness and solve the paradox with low mutation rates. We simultaneously track the ecological and evolutionary dynamics and show that the population ratio links the two processes and tunes the stable ecoevolutionary equilibrium. Numerical simulations confirm the analytic prediction with varying mutation rates (heritable variance). The efficiency of a biological market is generally suboptimal due to the information constraint and individual competition. (C) 2013 Elsevier Inc. All rights reserved.","KJB","include","interspecific","modelling","","Plant-animal mutualism in biological markets: Evolutionary and ecological dynamics driven by non-heritable phenotypic variance","Mutualism between plants and animals, such as in pollination and seed dispersal, is a fundamental mechanism facilitating the productivity and biodiversity of ecosystems, and it is often considered as an analog of a free-market economy. The coevolution of plant reward and animal choosiness, however, involves an apparent paradox due to incomplete information and limited mutation rates: plant rewards evolve only when animals are choosy, but choosy animals purge the heritable variations of plants, which then favors less choosy animals. Here we use a two-species mathematical model to illustrate how non-heritable phenotypic variances of plants may facilitate the coevolution of rewards and choosiness and solve the paradox with low mutation rates. We simultaneously track the ecological and evolutionary dynamics and show that the population ratio links the two processes and tunes the stable ecoevolutionary equilibrium. Numerical simulations confirm the analytic prediction with varying mutation rates (heritable variance). The efficiency of a biological market is generally suboptimal due to the information constraint and individual competition. (C) 2013 Elsevier Inc. All rights reserved.","PT","include","interspecific","theory/model",""
"208","MA286","Policing and group cohesion when resources vary","
The transition from competing individuals to cooperative groups has occurred several times in evolutionary history. The puzzle is why selfish individuals did not subvert cohesive group behaviour by taking resources without contributing to the group's overall success. Kin selection and reciprocal altruism are the two standard explanations for group cohesion. But many groups have evolved into cooperative units when relatedness was low and opportunities were limited for the strategic alliances required for reciprocity. A new theory was recently proposed in which individuals invest some of their resources into repressing competition between group members. Such policing increases the fair distribution of resources in the group and enhances group cohesion. The surprising aspect of this theory is that low relatedness is more conducive to the spread of policing traits than is high relatedness. Here a new explanation is developed of the biological processes that favour policing. The model is then extended in two ways. First, more realism is added to the theory by accounting for the full range of costs and benefits associated with competitive and cooperative traits within groups. Second, another surprising result is introduced about cooperative evolution. Small variations in individual vigour or resources can lead to large variations in individual contributions to policing the group. Stronger individuals often invest all of their excess resources into policing, but weaker individuals do not contribute to group cohesion. (C) 1996 The Association for the Study of Animal Behaviour
","KJB","include","intraspecific","competition, theoretical/modelling","Last part of the abstract might be relevant ‘ Small variations in individual vigour or resources can lead to large variations in individual contributions to policing the group. Stronger individuals often invest all of their excess resources into policing, but weaker individuals do not contribute to group cohesion.’ Based on the abstract it seems uninteresting for us (the amount of competition itself does not change), but we might want to read the paper to be certain.","Policing and group cohesion when resources vary","The transition from competing individuals to cooperative groups has occurred several times in evolutionary history. The puzzle is why selfish individuals did not subvert cohesive group behaviour by taking resources without contributing to the group's overall success. Kin selection and reciprocal altruism are the two standard explanations for group cohesion. But many groups have evolved into cooperative units when relatedness was low and opportunities were limited for the strategic alliances required for reciprocity. A new theory was recently proposed in which individuals invest some of their resources into repressing competition between group members. Such policing increases the fair distribution of resources in the group and enhances group cohesion. The surprising aspect of this theory is that low relatedness is more conducive to the spread of policing traits than is high relatedness. Here a new explanation is developed of the biological processes that favour policing. The model is then extended in two ways. First, more realism is added to the theory by accounting for the full range of costs and benefits associated with competitive and cooperative traits within groups. Second, another surprising result is introduced about cooperative evolution. Small variations in individual vigour or resources can lead to large variations in individual contributions to policing the group. Stronger individuals often invest all of their excess resources into policing, but weaker individuals do not contribute to group cohesion. (C) 1996 The Association for the Study of Animal Behaviour","NM","include","intraspecific","theoretical/modelling; competition-cooperation",""
"213","MA290","Population-specific responses to an invasive species","Predicting the impacts of non-native species remains a challenge. As populations of a species are genetically and phenotypically variable, the impact of non-native species on local taxa could crucially depend on populations-pecific traits and adaptations of both native and non-native species. Bitterling fishes are brood parasites of unionid mussels and unionid mussels produce larvae that parasitize fishes. We used common garden experiments to measure three key elements in the bitterlingmussel association among two populations of an invasive mussel (Anodonta woodiana) and four populations of European bitterling (Rhodeus amarus). The impact of the invasive mussel varied between geographically distinct R. amarus lineages and between local populations within lineages. The capacity of parasitic larvae of the invasive mussel to exploit R. amarus was higher in a Danubian than in a Baltic R. amarus lineage and in allopatric than in sympatric R. amarus populations. Maladaptive oviposition by R. amarus into A. woodiana varied among populations, with significant population-specific consequences for R. amarus recruitment. We suggest that variation in coevolutionary states may predispose different populations to divergent responses. Given that coevolutionary relationships are ubiquitous, population-specific attributes of invasive and native populations may play a critical role in the outcome of invasion. We argue for a shift from a species-centred to population-centred perspective of the impacts of invasions.  2015 The Author(s) Published by the Royal Society. All rights reserved.","JW","include","interspecific","parasite-host","","Population-specific responses to an invasive species","Predicting the impacts of non-native species remains a challenge. As populations of a species are genetically and phenotypically variable, the impact of non-native species on local taxa could crucially depend on populations-pecific traits and adaptations of both native and non-native species. Bitterling fishes are brood parasites of unionid mussels and unionid mussels produce larvae that parasitize fishes. We used common garden experiments to measure three key elements in the bitterlingmussel association among two populations of an invasive mussel (Anodonta woodiana) and four populations of European bitterling (Rhodeus amarus). The impact of the invasive mussel varied between geographically distinct R. amarus lineages and between local populations within lineages. The capacity of parasitic larvae of the invasive mussel to exploit R. amarus was higher in a Danubian than in a Baltic R. amarus lineage and in allopatric than in sympatric R. amarus populations. Maladaptive oviposition by R. amarus into A. woodiana varied among populations, with significant population-specific consequences for R. amarus recruitment. We suggest that variation in coevolutionary states may predispose different populations to divergent responses. Given that coevolutionary relationships are ubiquitous, population-specific attributes of invasive and native populations may play a critical role in the outcome of invasion. We argue for a shift from a species-centred to population-centred perspective of the impacts of invasions.  2015 The Author(s) Published by the Royal Society. All rights reserved.","PT","include","interspecific","parasite-host",""
"214","MA291","Potential for endophyte symbiosis to increase resistance of the native grass Poa alsodes to invasion by the non-native grass Microstegium vimineum","Microbial symbionts can improve the competitive ability and stress tolerance of plant hosts and thus may enhance native plant resistance against invaders. We investigated whether symbiosis between a native grass, Poa alsodes, and a fungal endophyte (Neotyphodium sp.) improved the grass's ability to compete against Microstegium vimineum (Japanese stiltgrass), a common invader in the eastern USA. We challenged naturally endophyte-symbiotic and experimentally endophyte-free P. alsodes plants with the invader. In the first experiment, we manipulated symbiosis and water availability to test for context-dependency in symbiont benefits. In the second experiment, we manipulated symbiosis and M. vimineum diversity (the number of invader populations), since greater intraspecific diversity is expected to improve invasion success and might alter the efficacy of symbiosis in invasion resistance. In both experiments, presence of the endophyte reduced the per plant biomass of M. vimineum and increased P. alsodes biomass. We found no evidence that benefits of the symbiont depended on water availability, and population-level diversity had a minor influence on M. vimineum: inflorescence number showed a parabolic relationship with increasing numbers of M. vimineum populations. Overall, symbiosis in the native grass had stronger effects on invader growth than either water availability or invader genetic diversity. Our results suggest that endophyte symbioses in native plants can increase host performance against an invader, although this conclusion needs confirmation in more complex field settings where other important factors, such as herbivores and fluctuating abiotic conditions, come into play.  Springer Science+Business Media B.V. 2011.","KJB","include","interspecific","Plant-symbiont, invasion, experiment","","Potential for endophyte symbiosis to increase resistance of the native grass Poa alsodes to invasion by the non-native grass Microstegium vimineum","Microbial symbionts can improve the competitive ability and stress tolerance of plant hosts and thus may enhance native plant resistance against invaders. We investigated whether symbiosis between a native grass, Poa alsodes, and a fungal endophyte (Neotyphodium sp.) improved the grass's ability to compete against Microstegium vimineum (Japanese stiltgrass), a common invader in the eastern USA. We challenged naturally endophyte-symbiotic and experimentally endophyte-free P. alsodes plants with the invader. In the first experiment, we manipulated symbiosis and water availability to test for context-dependency in symbiont benefits. In the second experiment, we manipulated symbiosis and M. vimineum diversity (the number of invader populations), since greater intraspecific diversity is expected to improve invasion success and might alter the efficacy of symbiosis in invasion resistance. In both experiments, presence of the endophyte reduced the per plant biomass of M. vimineum and increased P. alsodes biomass. We found no evidence that benefits of the symbiont depended on water availability, and population-level diversity had a minor influence on M. vimineum: inflorescence number showed a parabolic relationship with increasing numbers of M. vimineum populations. Overall, symbiosis in the native grass had stronger effects on invader growth than either water availability or invader genetic diversity. Our results suggest that endophyte symbioses in native plants can increase host performance against an invader, although this conclusion needs confirmation in more complex field settings where other important factors, such as herbivores and fluctuating abiotic conditions, come into play.  Springer Science+Business Media B.V. 2011.","PT","include","interspecific","plant competition",""
"226","MA301","Reconciling with Valuable Partners by Longtailed Macaques","In primates and other social mammals, opponents in aggressive conflicts have been reported to seek one another out after fights for various types of friendly interaction. In longtailed macaques, these friendly reunions have been shown to restore aspects of the social relationship of the opponents to their preconflict state, and they have thus been interpreted as reconciliations. Although postconflict reconciliation would seem to be adaptive to gregarious animals that establish individualized social relationships, its occurrence is variable among species, groups and dyads. Some of this variation probably reflects costs and benefits of reconciling in different situations. One factor that might influence the benefit of reconciliation and hence its occurrence is the value of the social partner as a social or ecological resource: reconciliation should occur more often after fights with valuable social partners. We conducted an experiment to test this hypothesis using pairs of monkeys (Macaca fascicularis) as their own controls. First, baseline rates of reconciliation after experimenterinduced conflict were measured. Then, the value of the relationship, at least in the test context, was increased by training each pair of monkeys to perform a simple cooperative task in which each got access to food only if the partner fed nearby simultaneously. Finally, the reconciliation rate was measured again after training and compared to its baseline value. In 6 of 7 dyads, the reconciliation rate increased after training, and the median reconciliation rate after training was 3 times higher than at baseline. While the results are consistent with the value hypothesis, there are other potential explanations. Comparison of friendly behavior when there had been no prior aggression in baseline and posttraining phases, however, suggested that the increase in reconciliation rate was neither the result of a general increase in compatibility nor the result of anticipated conflict in the cofeeding context. 1993 Blackwell Verlag GmbH","JW","include","intraspecific","social behavior","","Reconciling with Valuable Partners by Longtailed Macaques","In primates and other social mammals, opponents in aggressive conflicts have been reported to seek one another out after fights for various types of friendly interaction. In longtailed macaques, these friendly reunions have been shown to restore aspects of the social relationship of the opponents to their preconflict state, and they have thus been interpreted as reconciliations. Although postconflict reconciliation would seem to be adaptive to gregarious animals that establish individualized social relationships, its occurrence is variable among species, groups and dyads. Some of this variation probably reflects costs and benefits of reconciling in different situations. One factor that might influence the benefit of reconciliation and hence its occurrence is the value of the social partner as a social or ecological resource: reconciliation should occur more often after fights with valuable social partners. We conducted an experiment to test this hypothesis using pairs of monkeys (Macaca fascicularis) as their own controls. First, baseline rates of reconciliation after experimenterinduced conflict were measured. Then, the value of the relationship, at least in the test context, was increased by training each pair of monkeys to perform a simple cooperative task in which each got access to food only if the partner fed nearby simultaneously. Finally, the reconciliation rate was measured again after training and compared to its baseline value. In 6 of 7 dyads, the reconciliation rate increased after training, and the median reconciliation rate after training was 3 times higher than at baseline. While the results are consistent with the value hypothesis, there are other potential explanations. Comparison of friendly behavior when there had been no prior aggression in baseline and posttraining phases, however, suggested that the increase in reconciliation rate was neither the result of a general increase in compatibility nor the result of anticipated conflict in the cofeeding context. 1993 Blackwell Verlag GmbH","PT","include","intraspecific","group living: antagonism v benefit",""
"236","MA310","Rethinking Mutualism Stability: Cheaters and the Evolution of Sanctions","How cooperation originates and persists in diverse species, from bacteria to multicellular organisms to human societies, is a major question in evolutionary biology. A large literature asks: what prevents selection for cheating within cooperative lineages? In mutualisms, or cooperative interactions between species, feedback between partners often aligns their fitness interests, such that cooperative symbionts receive more benefits from their hosts than uncooperative symbionts. But how do these feedbacks evolve? Cheaters might invade symbiont populations and select for hosts that preferentially reward or associate with cooperators (often termed sanctions or partner choice); hosts might adapt to variation in symbiont quality that does not amount to cheating (e.g., environmental variation); or conditional host responses might exist before cheaters do, making mutualisms stable from the outset. I review evidence from yucca-yucca moth, fig-fig wasp, and legume-rhizobium mutualisms, which are commonly cited as mutualisms stabilized by sanctions. Based on the empirical evidence, it is doubtful that cheaters select for host sanctions in these systems; cheaters are too uncommon. Recognizing that sanctions likely evolved for functions other than retaliation against cheaters offers many insights about mutualism coevolution, and about why mutualism evolves in only some lineages of potential hosts.","CF","include","interspecific","mutualism, review","","Rethinking Mutualism Stability: Cheaters and the Evolution of Sanctions","How cooperation originates and persists in diverse species, from bacteria to multicellular organisms to human societies, is a major question in evolutionary biology. A large literature asks: what prevents selection for cheating within cooperative lineages? In mutualisms, or cooperative interactions between species, feedback between partners often aligns their fitness interests, such that cooperative symbionts receive more benefits from their hosts than uncooperative symbionts. But how do these feedbacks evolve? Cheaters might invade symbiont populations and select for hosts that preferentially reward or associate with cooperators (often termed sanctions or partner choice); hosts might adapt to variation in symbiont quality that does not amount to cheating (e.g., environmental variation); or conditional host responses might exist before cheaters do, making mutualisms stable from the outset. I review evidence from yucca-yucca moth, fig-fig wasp, and legume-rhizobium mutualisms, which are commonly cited as mutualisms stabilized by sanctions. Based on the empirical evidence, it is doubtful that cheaters select for host sanctions in these systems; cheaters are too uncommon. Recognizing that sanctions likely evolved for functions other than retaliation against cheaters offers many insights about mutualism coevolution, and about why mutualism evolves in only some lineages of potential hosts.","MW","include","interspecific","Host-symbiont",""
"242","MA316","Sex-dependent implications of primary productivity and conspecific density on geographical body size variation in a newt: disentangling local, large scale and genetic factors","Aim: Geographical body size variation has interested biologists since the 19th century. However, there is no consensus regarding the mechanisms involved, especially in amphibians. At the intraspecific level, different approximations and hypotheses have addressed this problem, but no study has integrated information at different spatio-temporal ecological and (phylo)genetic scales whilst considering differences between sexes. We investigated the mechanisms involved in geographical body size variation in the Iberian newt (Lissotriton boscai), accounting for the main hypotheses potentially explaining variation in this phenotypic trait in amphibians. Location: Iberian Peninsula. Methods: We used a novel multivariate technique (partial least squares regression) that accounts for interdependence amongst variables whilst allowing for the inclusion of multiple local and macroscale predictors. We considered intraspecific genetic differentiation including information from the mitochondrial and nuclear genomes in populations representative of the species distribution. We addressed causal hypotheses of heat conservation, temperature-related development, water and food availability, seasonality, competition and predation. Results: Annual primary productivity and intraspecific competition were of greatest relevance to explain body size variation in females, whilst seasonality of primary productivity was more important in males. Differences between sexes are interpreted based on previous experiments on the behavioural ecology of this species. Main conclusions: This study shows that sex-dependent implications of competition for food drive geographical body size variation in an urodele amphibian, supporting the density-resource hypothesis. Our results suggest that food availability, conspecific density and competition are important in explaining intraspecific body size variation in amphibians. This study highlights how selecting model species with an experimental background can help interpret geographical variation in phenotypic traits. We emphasize the value of simultaneously considering alternative hypotheses of phenotypic variation at different ecological and (phylo)genetic spatio-temporal scales in revealing potentially hidden relationships.  2017 John Wiley & Sons Ltd","JW","include","intraspecific","male-female","","Sex-dependent implications of primary productivity and conspecific density on geographical body size variation in a newt: disentangling local, large scale and genetic factors","Aim: Geographical body size variation has interested biologists since the 19th century. However, there is no consensus regarding the mechanisms involved, especially in amphibians. At the intraspecific level, different approximations and hypotheses have addressed this problem, but no study has integrated information at different spatio-temporal ecological and (phylo)genetic scales whilst considering differences between sexes. We investigated the mechanisms involved in geographical body size variation in the Iberian newt (Lissotriton boscai), accounting for the main hypotheses potentially explaining variation in this phenotypic trait in amphibians. Location: Iberian Peninsula. Methods: We used a novel multivariate technique (partial least squares regression) that accounts for interdependence amongst variables whilst allowing for the inclusion of multiple local and macroscale predictors. We considered intraspecific genetic differentiation including information from the mitochondrial and nuclear genomes in populations representative of the species distribution. We addressed causal hypotheses of heat conservation, temperature-related development, water and food availability, seasonality, competition and predation. Results: Annual primary productivity and intraspecific competition were of greatest relevance to explain body size variation in females, whilst seasonality of primary productivity was more important in males. Differences between sexes are interpreted based on previous experiments on the behavioural ecology of this species. Main conclusions: This study shows that sex-dependent implications of competition for food drive geographical body size variation in an urodele amphibian, supporting the density-resource hypothesis. Our results suggest that food availability, conspecific density and competition are important in explaining intraspecific body size variation in amphibians. This study highlights how selecting model species with an experimental background can help interpret geographical variation in phenotypic traits. We emphasize the value of simultaneously considering alternative hypotheses of phenotypic variation at different ecological and (phylo)genetic spatio-temporal scales in revealing potentially hidden relationships.  2017 John Wiley & Sons Ltd","PT","include","intraspecific","food competition",""
"245","MA319","Sexual conflict predicts morphology and behavior in two species of penduline tits","Background. The evolutionary interests of males and females rarely coincide (sexual conflict), and these conflicting interests influence morphology, behavior and speciation in various organisms. We examined consequences of variation in sexual conflict in two closely-related passerine birds with contrasting breeding systems: the Eurasian penduline tit Remiz pendulinus (EPT) exhibiting a highly polygamous breeding system with sexually antagonistic interests over parental care, and the socially monogamous Cape penduline tit Anthoscopus minutus (CPT). We derived four a priori predictions from sexual conflict theory and tested these using data collected in Central Europe (EPT) and South Africa (CPT). Firstly, we predicted that EPTs exhibit more sexually dimorphic plumage than CPTs due to more intense sexual selection. Secondly, we expected brighter EPT males to provide less care than duller males. Thirdly, since song is a sexually selected trait in many birds, male EPTs were expected to exhibit more complex songs than CPT males. Finally, intense sexual conflict in EPT was expected to lead to low nest attendance as an indication of sexually antagonistic interests, whereas we expected more cooperation between parents in CPT consistent with their socially monogamous breeding system. Results. Consistent with our predictions EPTs exhibited greater sexual dimorphism in plumage and more complex song than CPTs, and brighter EPT males provided less care than duller ones. EPT parents attended the nest less frequently and less simultaneously than CPT parents. Conclusions. These results are consistent with sexual conflict theory: species in which sexual conflict is more manifested (EPT) exhibited a stronger sexual dimorphism and more elaborated sexually selected traits than species with less intense sexual conflict (CPT). Our results are also consistent with the notion that EPTs attempt to force their partner to work harder as expected under sexual conflict: each member of the breeding pair attempts to shift the costs of care to the other parent. More brightly colored males benefit more from desertion than dull ones, because they are more likely to remate with a new female. Taken together, the comparison between two closely related species with contrasting breeding systems suggest that sexual conflict over care has influenced the evolution of behavior and morphology in penduline tits.  2010 van Dijk et al; licensee BioMed Central Ltd.","JW","include","intraspecific","male-female, social behavior","","Sexual conflict predicts morphology and behavior in two species of penduline tits","Background. The evolutionary interests of males and females rarely coincide (sexual conflict), and these conflicting interests influence morphology, behavior and speciation in various organisms. We examined consequences of variation in sexual conflict in two closely-related passerine birds with contrasting breeding systems: the Eurasian penduline tit Remiz pendulinus (EPT) exhibiting a highly polygamous breeding system with sexually antagonistic interests over parental care, and the socially monogamous Cape penduline tit Anthoscopus minutus (CPT). We derived four a priori predictions from sexual conflict theory and tested these using data collected in Central Europe (EPT) and South Africa (CPT). Firstly, we predicted that EPTs exhibit more sexually dimorphic plumage than CPTs due to more intense sexual selection. Secondly, we expected brighter EPT males to provide less care than duller males. Thirdly, since song is a sexually selected trait in many birds, male EPTs were expected to exhibit more complex songs than CPT males. Finally, intense sexual conflict in EPT was expected to lead to low nest attendance as an indication of sexually antagonistic interests, whereas we expected more cooperation between parents in CPT consistent with their socially monogamous breeding system. Results. Consistent with our predictions EPTs exhibited greater sexual dimorphism in plumage and more complex song than CPTs, and brighter EPT males provided less care than duller ones. EPT parents attended the nest less frequently and less simultaneously than CPT parents. Conclusions. These results are consistent with sexual conflict theory: species in which sexual conflict is more manifested (EPT) exhibited a stronger sexual dimorphism and more elaborated sexually selected traits than species with less intense sexual conflict (CPT). Our results are also consistent with the notion that EPTs attempt to force their partner to work harder as expected under sexual conflict: each member of the breeding pair attempts to shift the costs of care to the other parent. More brightly colored males benefit more from desertion than dull ones, because they are more likely to remate with a new female. Taken together, the comparison between two closely related species with contrasting breeding systems suggest that sexual conflict over care has influenced the evolution of behavior and morphology in penduline tits.  2010 van Dijk et al; licensee BioMed Central Ltd.","NM","include","intraspecific","male-female; competition-cooperation",""
